GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G0101250","1950","Alabama","010","Tuscaloosa","1250","Tuscaloosa","41","1250",94092,"Increase 20% to 39%"
"G0101270","1950","Alabama","010","Walker","1270","Walker","41","1270",63769,"Decrease 0% to 19%"
"G0101290","1950","Alabama","010","Washington","1290","Washington","41","1290",15612,"Decrease 0% to 19%"
"G0101310","1950","Alabama","010","Wilcox","1310","Wilcox","41","1310",23476,"Decrease 0% to 19%"
"G0101330","1950","Alabama","010","Winston","1330","Winston","41","1330",18250,"Decrease 0% to 19%"
"G0250015","1950","Alaska Territory","025","First Judicial Dist","0015","First Judicicial Dist","81","3000",28203,
"G0250035","1950","Alaska Territory","025","Fourth Judicial Dist","0035","Fourth Judicicial Dist","81","3300",28650,
"G0250075","1950","Alaska Territory","025","Second Judicial Dist","0075","Second Judicicial Dist","81","3100",12272,
"G0250115","1950","Alaska Territory","025","Third Judicial Dist","0115","Third Judicicial Dist","81","3200",59518,
"G0400010","1950","Arizona","040","Apache","0010","Apache","61","10",27767,"Increase 0% to 19%"
"G0400030","1950","Arizona","040","Cochise","0030","Cochise","61","30",31488,"Decrease 0% to 19%"
"G0400050","1950","Arizona","040","Coconino","0050","Coconino","61","50",23910,"Increase 20% to 39%"
"G0400070","1950","Arizona","040","Gila","0070","Gila","61","70",24158,"Increase 0% to 19%"
"G0400090","1950","Arizona","040","Graham","0090","Graham","61","90",12985,"Increase 0% to 19%"
"G0400110","1950","Arizona","040","Greenlee","0110","Greenlee","61","110",12805,"Increase 40% to 59%"
"G0400130","1950","Arizona","040","Maricopa","0130","Maricopa","61","130",331770,"Increase 60% to 79%"
"G0400150","1950","Arizona","040","Mohave","0150","Mohave","61","150",8510,"Decrease 0% to 19%"
"G0400170","1950","Arizona","040","Navajo","0170","Navajo","61","170",29446,"Increase 0% to 19%"
"G0400190","1950","Arizona","040","Pima","0190","Pima","61","190",141216,"Increase 80% to 99%"
"G0400210","1950","Arizona","040","Pinal","0210","Pinal","61","210",43191,"Increase 40% to 59%"
"G0400230","1950","Arizona","040","Santa Cruz","0230","Santa Cruz","61","230",9344,"Decrease 0% to 19%"
"G0400250","1950","Arizona","040","Yavapai","0250","Yavapai","61","250",24991,"Decrease 0% to 19%"
"G0400270","1950","Arizona","040","Yuma","0270","Yuma","61","270",28006,"Increase 40% to 59%"
"G0500010","1950","Arkansas","050","Arkansas","0010","Arkansas","42","10",23665,"Decrease 0% to 19%"
"G0500030","1950","Arkansas","050","Ashley","0030","Ashley","42","30",25660,"Decrease 0% to 19%"
"G0500050","1950","Arkansas","050","Baxter","0050","Baxter","42","50",11683,"Increase 0% to 19%"
"G0500070","1950","Arkansas","050","Benton","0070","Benton","42","70",38076,"Increase 0% to 19%"
"G0500090","1950","Arkansas","050","Boone","0090","Boone","42","90",16260,"Increase 0% to 19%"
"G0500110","1950","Arkansas","050","Bradley","0110","Bradley","42","110",15987,"Decrease 0% to 19%"
"G0500130","1950","Arkansas","050","Calhoun","0130","Calhoun","42","130",7132,"Decrease 20% to 39%"
"G0500150","1950","Arkansas","050","Carroll","0150","Carroll","42","150",13244,"Decrease 0% to 19%"
"G0500170","1950","Arkansas","050","Chicot","0170","Chicot","42","170",22306,"Decrease 0% to 19%"
"G0500190","1950","Arkansas","050","Clark","0190","Clark","42","190",22998,"Decrease 0% to 19%"
"G0500210","1950","Arkansas","050","Clay","0210","Clay","42","210",26674,"Decrease 0% to 19%"
"G0500230","1950","Arkansas","050","Cleburne","0230","Cleburne","42","230",11487,"Decrease 0% to 19%"
"G0500250","1950","Arkansas","050","Cleveland","0250","Cleveland","42","250",8956,"Decrease 20% to 39%"
"G0500270","1950","Arkansas","050","Columbia","0270","Columbia","42","270",28770,"Decrease 0% to 19%"
