GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G1302610","1950","Georgia","130","Sumter","2610","Sumter","44","2610",24208,"Decrease 0% to 19%"
"G1302630","1950","Georgia","130","Talbot","2630","Talbot","44","2630",7687,"Decrease 0% to 19%"
"G1302650","1950","Georgia","130","Taliaferro","2650","Taliaferro","44","2650",4515,"Decrease 20% to 39%"
"G1302670","1950","Georgia","130","Tattnall","2670","Tattnall","44","2670",15939,"Decrease 0% to 19%"
"G1302690","1950","Georgia","130","Taylor","2690","Taylor","44","2690",9113,"Decrease 0% to 19%"
"G1302710","1950","Georgia","130","Telfair","2710","Telfair","44","2710",13221,"Decrease 0% to 19%"
"G1302730","1950","Georgia","130","Terrell","2730","Terrell","44","2730",14314,"Decrease 0% to 19%"
"G1302750","1950","Georgia","130","Thomas","2750","Thomas","44","2750",33932,"Increase 0% to 19%"
"G1302770","1950","Georgia","130","Tift","2770","Tift","44","2770",22645,"Increase 20% to 39%"
"G1302790","1950","Georgia","130","Toombs","2790","Toombs","44","2790",17382,"Increase 0% to 19%"
"G1302810","1950","Georgia","130","Towns","2810","Towns","44","2810",4803,"Decrease 0% to 19%"
"G1302830","1950","Georgia","130","Treutlen","2830","Treutlen","44","2830",6522,"Decrease 0% to 19%"
"G1302850","1950","Georgia","130","Troup","2850","Troup","44","2850",49841,"Increase 0% to 19%"
"G1302870","1950","Georgia","130","Turner","2870","Turner","44","2870",10479,"Decrease 0% to 19%"
"G1302890","1950","Georgia","130","Twiggs","2890","Twiggs","44","2890",8308,"Decrease 0% to 19%"
"G1302910","1950","Georgia","130","Union","2910","Union","44","2910",7318,"Decrease 0% to 19%"
"G1302930","1950","Georgia","130","Upson","2930","Upson","44","2930",25078,"Increase 0% to 19%"
"G1302950","1950","Georgia","130","Walker","2950","Walker","44","2950",38198,"Increase 20% to 39%"
"G1302970","1950","Georgia","130","Walton","2970","Walton","44","2970",20230,"Decrease 0% to 19%"
"G1302990","1950","Georgia","130","Ware","2990","Ware","44","2990",30289,"Increase 0% to 19%"
"G1303010","1950","Georgia","130","Warren","3010","Warren","44","3010",8779,"Decrease 0% to 19%"
"G1303030","1950","Georgia","130","Washington","3030","Washington","44","3030",21012,"Decrease 0% to 19%"
"G1303050","1950","Georgia","130","Wayne","3050","Wayne","44","3050",14248,"Increase 0% to 19%"
"G1303070","1950","Georgia","130","Webster","3070","Webster","44","3070",4081,"Decrease 0% to 19%"
"G1303090","1950","Georgia","130","Wheeler","3090","Wheeler","44","3090",6712,"Decrease 20% to 39%"
"G1303110","1950","Georgia","130","White","3110","White","44","3110",5951,"Decrease 0% to 19%"
"G1303130","1950","Georgia","130","Whitfield","3130","Whitfield","44","3130",34432,"Increase 20% to 39%"
"G1303150","1950","Georgia","130","Wilcox","3150","Wilcox","44","3150",10167,"Decrease 20% to 39%"
"G1303170","1950","Georgia","130","Wilkes","3170","Wilkes","44","3170",12388,"Decrease 0% to 19%"
"G1303190","1950","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",9781,"Decrease 0% to 19%"
"G1303210","1950","Georgia","130","Worth","3210","Worth","44","3210",19357,"Decrease 0% to 19%"
"G1550015","1950","Hawaii Territory","155","Hawaii","0015","Hawaii","82","10",68350,
"G1550035","1950","Hawaii Territory","155","Honolulu","0035","Honolulu","82","30",353020,
"G1550075","1950","Hawaii Territory","155","Kauai","0075","Kauai","82","70",29905,
"G1550095","1950","Hawaii Territory","155","Maui","0095","Maui","82","90",48519,
"G1600010","1950","Idaho","160","Ada","0010","Ada","63","10",70649,"Increase 40% to 59%"
"G1600030","1950","Idaho","160","Adams","0030","Adams","63","30",3347,"Decrease 0% to 19%"
"G1600050","1950","Idaho","160","Bannock","0050","Bannock","63","50",41745,"Increase 20% to 39%"
"G1600070","1950","Idaho","160","Bear Lake","0070","Bear Lake","63","70",6834,"Decrease 0% to 19%"
"G1600090","1950","Idaho","160","Benewah","0090","Benewah","63","90",6173,"Decrease 0% to 19%"
"G1600110","1950","Idaho","160","Bingham","0110","Bingham","63","110",23271,"Increase 0% to 19%"
"G1600130","1950","Idaho","160","Blaine","0130","Blaine","63","130",5384,"Increase 0% to 19%"
"G1600150","1950","Idaho","160","Boise","0150","Boise","63","150",1776,"Decrease 20% to 39%"
"G1600170","1950","Idaho","160","Bonner","0170","Bonner","63","170",14853,"Decrease 0% to 19%"
"G1600190","1950","Idaho","160","Bonneville","0190","Bonneville","63","190",30210,"Increase 0% to 19%"
"G1600210","1950","Idaho","160","Boundary","0210","Boundary","63","210",5908,"Decrease 0% to 19%"
"G1600230","1950","Idaho","160","Butte","0230","Butte","63","230",2722,"Increase 40% to 59%"
"G1600250","1950","Idaho","160","Camas","0250","Camas","63","250",1079,"Decrease 20% to 39%"
"G1600270","1950","Idaho","160","Canyon","0270","Canyon","63","270",53597,"Increase 20% to 39%"
"G1600290","1950","Idaho","160","Caribou","0290","Caribou","63","290",5576,"Increase 100% or more"
"G1600310","1950","Idaho","160","Cassia","0310","Cassia","63","310",14629,"Increase 0% to 19%"
"G1600330","1950","Idaho","160","Clark","0330","Clark","63","330",918,"Decrease 0% to 19%"
"G1600350","1950","Idaho","160","Clearwater","0350","Clearwater","63","350",8217,"Decrease 0% to 19%"
"G1600370","1950","Idaho","160","Custer","0370","Custer","63","370",3318,"Decrease 0% to 19%"
"G1600390","1950","Idaho","160","Elmore","0390","Elmore","63","390",6687,"Increase 20% to 39%"
"G1600410","1950","Idaho","160","Franklin","0410","Franklin","63","410",9867,"Decrease 0% to 19%"
"G1600430","1950","Idaho","160","Fremont","0430","Fremont","63","430",9351,"Decrease 0% to 19%"
"G1600450","1950","Idaho","160","Gem","0450","Gem","63","450",8730,"Decrease 0% to 19%"
"G1600470","1950","Idaho","160","Gooding","0470","Gooding","63","470",11101,"Increase 0% to 19%"
"G1600490","1950","Idaho","160","Idaho","0490","Idaho","63","490",11423,"Decrease 0% to 19%"
"G1600510","1950","Idaho","160","Jefferson","0510","Jefferson","63","510",10495,"Decrease 0% to 19%"
"G1600530","1950","Idaho","160","Jerome","0530","Jerome","63","530",12080,"Increase 20% to 39%"
"G1600550","1950","Idaho","160","Kootenai","0550","Kootenai","63","550",24947,"Increase 0% to 19%"
"G1600570","1950","Idaho","160","Latah","0570","Latah","63","570",20971,"Increase 0% to 19%"
"G1600590","1950","Idaho","160","Lemhi","0590","Lemhi","63","590",6278,"Decrease 0% to 19%"
"G1600610","1950","Idaho","160","Lewis","0610","Lewis","63","610",4208,"Decrease 0% to 19%"
"G1600630","1950","Idaho","160","Lincoln","0630","Lincoln","63","630",4256,"Increase 0% to 19%"
"G1600650","1950","Idaho","160","Madison","0650","Madison","63","650",9156,"Decrease 0% to 19%"
"G1600670","1950","Idaho","160","Minidoka","0670","Minidoka","63","670",9785,"Decrease 0% to 19%"
"G1600690","1950","Idaho","160","Nez Perce","0690","Nez Perce","63","690",22658,"Increase 20% to 39%"
"G1600710","1950","Idaho","160","Oneida","0710","Oneida","63","710",4387,"Decrease 0% to 19%"
"G1600730","1950","Idaho","160","Owyhee","0730","Owyhee","63","730",6307,"Increase 0% to 19%"
"G1600750","1950","Idaho","160","Payette","0750","Payette","63","750",11921,"Increase 20% to 39%"
"G1600770","1950","Idaho","160","Power","0770","Power","63","770",3988,"Increase 0% to 19%"
"G1600790","1950","Idaho","160","Shoshone","0790","Shoshone","63","790",22806,"Increase 0% to 19%"
"G1600810","1950","Idaho","160","Teton","0810","Teton","63","810",3204,"Decrease 0% to 19%"
"G1600830","1950","Idaho","160","Twin Falls","0830","Twin Falls","63","830",40979,"Increase 0% to 19%"
"G1600850","1950","Idaho","160","Valley","0850","Valley","63","850",4270,"Increase 0% to 19%"
"G1600870","1950","Idaho","160","Washington","0870","Washington","63","870",8576,"Decrease 0% to 19%"
"G1600875","1950","Idaho","160","Yellowstone National Park","0875","Yellowstone National Park","63","890",0,
"G1700010","1950","Illinois","170","Adams","0010","Adams","21","10",64690,"Decrease 0% to 19%"
"G1700030","1950","Illinois","170","Alexander","0030","Alexander","21","30",20316,"Decrease 20% to 39%"
"G1700050","1950","Illinois","170","Bond","0050","Bond","21","50",14157,"Decrease 0% to 19%"
"G1700070","1950","Illinois","170","Boone","0070","Boone","21","70",17070,"Increase 0% to 19%"
"G1700090","1950","Illinois","170","Brown","0090","Brown","21","90",7132,"Decrease 0% to 19%"
"G1700110","1950","Illinois","170","Bureau","0110","Bureau","21","110",37711,"Increase 0% to 19%"
"G1700130","1950","Illinois","170","Calhoun","0130","Calhoun","21","130",6898,"Decrease 0% to 19%"
"G1700150","1950","Illinois","170","Carroll","0150","Carroll","21","150",18976,"Increase 0% to 19%"
"G1700170","1950","Illinois","170","Cass","0170","Cass","21","170",15097,"Decrease 0% to 19%"
"G1700190","1950","Illinois","170","Champaign","0190","Champaign","21","190",106100,"Increase 40% to 59%"
"G1700210","1950","Illinois","170","Christian","0210","Christian","21","210",38816,"Increase 0% to 19%"
"G1700230","1950","Illinois","170","Clark","0230","Clark","21","230",17362,"Decrease 0% to 19%"
"G1700250","1950","Illinois","170","Clay","0250","Clay","21","250",17445,"Decrease 0% to 19%"
"G1700270","1950","Illinois","170","Clinton","0270","Clinton","21","270",22594,"Decrease 0% to 19%"
"G1700290","1950","Illinois","170","Coles","0290","Coles","21","290",40328,"Increase 0% to 19%"
"G1700310","1950","Illinois","170","Cook","0310","Cook","21","310",4508792,"Increase 0% to 19%"
"G1700330","1950","Illinois","170","Crawford","0330","Crawford","21","330",21137,"Decrease 0% to 19%"
"G1700350","1950","Illinois","170","Cumberland","0350","Cumberland","21","350",10496,"Decrease 0% to 19%"
"G1700370","1950","Illinois","170","DeKalb","0370","De Kalb","21","370",40781,"Increase 0% to 19%"
"G1700390","1950","Illinois","170","De Witt","0390","De Witt","21","390",16894,"Decrease 0% to 19%"
"G1700410","1950","Illinois","170","Douglas","0410","Douglas","21","410",16706,"Decrease 0% to 19%"
"G1700430","1950","Illinois","170","Dupage","0430","Du Page","21","430",154599,"Increase 40% to 59%"
"G1700450","1950","Illinois","170","Edgar","0450","Edgar","21","450",23407,"Decrease 0% to 19%"
"G1700470","1950","Illinois","170","Edwards","0470","Edwards","21","470",9056,"Increase 0% to 19%"
"G1700490","1950","Illinois","170","Effingham","0490","Effingham","21","490",21675,"Decrease 0% to 19%"
"G1700510","1950","Illinois","170","Fayette","0510","Fayette","21","510",24582,"Decrease 0% to 19%"
"G1700530","1950","Illinois","170","Ford","0530","Ford","21","530",15901,"Increase 0% to 19%"
"G1700550","1950","Illinois","170","Franklin","0550","Franklin","21","550",48685,"Decrease 0% to 19%"
"G1700570","1950","Illinois","170","Fulton","0570","Fulton","21","570",43716,"Decrease 0% to 19%"
"G1700590","1950","Illinois","170","Gallatin","0590","Gallatin","21","590",9818,"Decrease 0% to 19%"
"G1700610","1950","Illinois","170","Greene","0610","Greene","21","610",18852,"Decrease 0% to 19%"
"G1700630","1950","Illinois","170","Grundy","0630","Grundy","21","630",19217,"Increase 0% to 19%"
"G1700650","1950","Illinois","170","Hamilton","0650","Hamilton","21","650",12256,"Decrease 0% to 19%"
"G1700670","1950","Illinois","170","Hancock","0670","Hancock","21","670",25790,"Decrease 0% to 19%"
"G1700690","1950","Illinois","170","Hardin","0690","Hardin","21","690",7530,"Decrease 0% to 19%"
"G1700710","1950","Illinois","170","Henderson","0710","Henderson","21","710",8416,"Decrease 0% to 19%"
"G1700730","1950","Illinois","170","Henry","0730","Henry","21","730",46492,"Increase 0% to 19%"
"G1700750","1950","Illinois","170","Iroquois","0750","Iroquois","21","750",32348,"Decrease 0% to 19%"
"G1700770","1950","Illinois","170","Jackson","0770","Jackson","21","770",38124,"Increase 0% to 19%"
"G1700790","1950","Illinois","170","Jasper","0790","Jasper","21","790",12266,"Decrease 0% to 19%"
"G1700810","1950","Illinois","170","Jefferson","0810","Jefferson","21","810",35892,"Increase 0% to 19%"
"G1700830","1950","Illinois","170","Jersey","0830","Jersey","21","830",15264,"Increase 0% to 19%"
"G1700850","1950","Illinois","170","Jo Daviess","0850","Jo Daviess","21","850",21459,"Increase 0% to 19%"
"G1700870","1950","Illinois","170","Johnson","0870","Johnson","21","870",8729,"Decrease 0% to 19%"
"G1700890","1950","Illinois","170","Kane","0890","Kane","21","890",150388,"Increase 0% to 19%"
"G1700910","1950","Illinois","170","Kankakee","0910","Kankakee","21","910",73524,"Increase 20% to 39%"
"G1700930","1950","Illinois","170","Kendall","0930","Kendall","21","930",12115,"Increase 0% to 19%"
"G1700950","1950","Illinois","170","Knox","0950","Knox","21","950",54366,"Increase 0% to 19%"
"G1700970","1950","Illinois","170","Lake","0970","Lake","21","970",179097,"Increase 40% to 59%"
"G1700990","1950","Illinois","170","La Salle","0990","La Salle","21","990",100610,"Increase 0% to 19%"
"G1701010","1950","Illinois","170","Lawrence","1010","Lawrence","21","1010",20539,"Decrease 0% to 19%"
"G1701030","1950","Illinois","170","Lee","1030","Lee","21","1030",36451,"Increase 0% to 19%"
"G1701050","1950","Illinois","170","Livingston","1050","Livingston","21","1050",37809,"Decrease 0% to 19%"
"G1701070","1950","Illinois","170","Logan","1070","Logan","21","1070",30671,"Increase 0% to 19%"
"G1701090","1950","Illinois","170","McDonough","1090","Mcdonough","21","1090",28199,"Increase 0% to 19%"
"G1701110","1950","Illinois","170","McHenry","1110","Mchenry","21","1110",50656,"Increase 20% to 39%"
"G1701130","1950","Illinois","170","McLean","1130","Mclean","21","1130",76577,"Increase 0% to 19%"
"G1701150","1950","Illinois","170","Macon","1150","Macon","21","1150",98853,"Increase 0% to 19%"
"G1701170","1950","Illinois","170","Macoupin","1170","Macoupin","21","1170",44210,"Decrease 0% to 19%"
"G1701190","1950","Illinois","170","Madison","1190","Madison","21","1190",182307,"Increase 20% to 39%"
"G1701210","1950","Illinois","170","Marion","1210","Marion","21","1210",41700,"Decrease 0% to 19%"
"G1701230","1950","Illinois","170","Marshall","1230","Marshall","21","1230",13025,"Decrease 0% to 19%"
"G1701250","1950","Illinois","170","Mason","1250","Mason","21","1250",15326,"Decrease 0% to 19%"
"G1701270","1950","Illinois","170","Massac","1270","Massac","21","1270",13594,"Decrease 0% to 19%"
"G1701290","1950","Illinois","170","Menard","1290","Menard","21","1290",9639,"Decrease 0% to 19%"
"G1701310","1950","Illinois","170","Mercer","1310","Mercer","21","1310",17374,"Decrease 0% to 19%"
"G1701330","1950","Illinois","170","Monroe","1330","Monroe","21","1330",13282,"Increase 0% to 19%"
"G1701350","1950","Illinois","170","Montgomery","1350","Montgomery","21","1350",32460,"Decrease 0% to 19%"
"G1701370","1950","Illinois","170","Morgan","1370","Morgan","21","1370",35568,"Decrease 0% to 19%"
"G1701390","1950","Illinois","170","Moultrie","1390","Moultrie","21","1390",13171,"Decrease 0% to 19%"
"G1701410","1950","Illinois","170","Ogle","1410","Ogle","21","1410",33429,"Increase 0% to 19%"
"G1701430","1950","Illinois","170","Peoria","1430","Peoria","21","1430",174347,"Increase 0% to 19%"
"G1701450","1950","Illinois","170","Perry","1450","Perry","21","1450",21684,"Decrease 0% to 19%"
"G1701470","1950","Illinois","170","Piatt","1470","Piatt","21","1470",13970,"Decrease 0% to 19%"
"G1701490","1950","Illinois","170","Pike","1490","Pike","21","1490",22155,"Decrease 0% to 19%"
"G1701510","1950","Illinois","170","Pope","1510","Pope","21","1510",5779,"Decrease 20% to 39%"
"G1701530","1950","Illinois","170","Pulaski","1530","Pulaski","21","1530",13639,"Decrease 0% to 19%"
"G1701550","1950","Illinois","170","Putnam","1550","Putnam","21","1550",4746,"Decrease 0% to 19%"
"G1701570","1950","Illinois","170","Randolph","1570","Randolph","21","1570",31673,"Decrease 0% to 19%"
"G1701590","1950","Illinois","170","Richland","1590","Richland","21","1590",16889,"Decrease 0% to 19%"
"G1701610","1950","Illinois","170","Rock Island","1610","Rock Island","21","1610",133558,"Increase 0% to 19%"
"G1701630","1950","Illinois","170","St Clair","1630","St Clair","21","1630",205995,"Increase 20% to 39%"
"G1701650","1950","Illinois","170","Saline","1650","Saline","21","1650",33420,"Decrease 0% to 19%"
"G1701670","1950","Illinois","170","Sangamon","1670","Sangamon","21","1670",131484,"Increase 0% to 19%"
"G1701690","1950","Illinois","170","Schuyler","1690","Schuyler","21","1690",9613,"Decrease 0% to 19%"
"G1701710","1950","Illinois","170","Scott","1710","Scott","21","1710",7245,"Decrease 0% to 19%"
"G1701730","1950","Illinois","170","Shelby","1730","Shelby","21","1730",24434,"Decrease 0% to 19%"
"G1701750","1950","Illinois","170","Stark","1750","Stark","21","1750",8721,"Decrease 0% to 19%"
"G1701770","1950","Illinois","170","Stephenson","1770","Stephenson","21","1770",41595,"Increase 0% to 19%"
"G1701790","1950","Illinois","170","Tazewell","1790","Tazewell","21","1790",76165,"Increase 20% to 39%"
"G1701810","1950","Illinois","170","Union","1810","Union","21","1810",20500,"Decrease 0% to 19%"
"G1701830","1950","Illinois","170","Vermilion","1830","Vermilion","21","1830",87079,"Increase 0% to 19%"
"G1701850","1950","Illinois","170","Wabash","1850","Wabash","21","1850",14651,"Increase 0% to 19%"
"G1701870","1950","Illinois","170","Warren","1870","Warren","21","1870",21981,"Increase 0% to 19%"
"G1701890","1950","Illinois","170","Washington","1890","Washington","21","1890",14460,"Decrease 0% to 19%"
"G1701910","1950","Illinois","170","Wayne","1910","Wayne","21","1910",20933,"Decrease 0% to 19%"
"G1701930","1950","Illinois","170","White","1930","White","21","1930",20935,"Increase 0% to 19%"
"G1701950","1950","Illinois","170","Whiteside","1950","Whiteside","21","1950",49336,"Increase 0% to 19%"
"G1701970","1950","Illinois","170","Will","1970","Will","21","1970",134336,"Increase 0% to 19%"
"G1701990","1950","Illinois","170","Williamson","1990","Williamson","21","1990",48621,"Decrease 0% to 19%"
"G1702010","1950","Illinois","170","Winnebago","2010","Winnebago","21","2010",152385,"Increase 20% to 39%"
"G1702030","1950","Illinois","170","Woodford","2030","Woodford","21","2030",21335,"Increase 0% to 19%"
"G1800010","1950","Indiana","180","Adams","0010","Adams","22","10",22393,"Increase 0% to 19%"
"G1800030","1950","Indiana","180","Allen","0030","Allen","22","30",183722,"Increase 0% to 19%"
"G1800050","1950","Indiana","180","Bartholomew","0050","Bartholomew","22","50",36108,"Increase 20% to 39%"
"G1800070","1950","Indiana","180","Benton","0070","Benton","22","70",11462,"Increase 0% to 19%"
"G1800090","1950","Indiana","180","Blackford","0090","Blackford","22","90",14026,"Increase 0% to 19%"
"G1800110","1950","Indiana","180","Boone","0110","Boone","22","110",23993,"Increase 0% to 19%"
"G1800130","1950","Indiana","180","Brown","0130","Brown","22","130",6209,"Increase 0% to 19%"
"G1800150","1950","Indiana","180","Carroll","0150","Carroll","22","150",16010,"Increase 0% to 19%"
"G1800170","1950","Indiana","180","Cass","0170","Cass","22","170",38793,"Increase 0% to 19%"
"G1800190","1950","Indiana","180","Clark","0190","Clark","22","190",48330,"Increase 40% to 59%"
"G1800210","1950","Indiana","180","Clay","0210","Clay","22","210",23918,"Decrease 0% to 19%"
"G1800230","1950","Indiana","180","Clinton","0230","Clinton","22","230",29734,"Increase 0% to 19%"
"G1800250","1950","Indiana","180","Crawford","0250","Crawford","22","250",9289,"Decrease 0% to 19%"
"G1800270","1950","Indiana","180","Daviess","0270","Daviess","22","270",26762,"Increase 0% to 19%"
"G1800290","1950","Indiana","180","Dearborn","0290","Dearborn","22","290",25141,"Increase 0% to 19%"
"G1800310","1950","Indiana","180","Decatur","0310","Decatur","22","310",18218,"Increase 0% to 19%"
"G1800330","1950","Indiana","180","DeKalb","0330","De Kalb","22","330",26023,"Increase 0% to 19%"
"G1800350","1950","Indiana","180","Delaware","0350","Delaware","22","350",90252,"Increase 20% to 39%"
"G1800370","1950","Indiana","180","Dubois","0370","Dubois","22","370",23785,"Increase 0% to 19%"
"G1800390","1950","Indiana","180","Elkhart","0390","Elkhart","22","390",84512,"Increase 0% to 19%"
"G1800410","1950","Indiana","180","Fayette","0410","Fayette","22","410",23391,"Increase 20% to 39%"
"G1800430","1950","Indiana","180","Floyd","0430","Floyd","22","430",43955,"Increase 20% to 39%"
"G1800450","1950","Indiana","180","Fountain","0450","Fountain","22","450",17836,"Decrease 0% to 19%"
"G1800470","1950","Indiana","180","Franklin","0470","Franklin","22","470",16034,"Increase 0% to 19%"
"G1800490","1950","Indiana","180","Fulton","0490","Fulton","22","490",16565,"Increase 0% to 19%"
"G1800510","1950","Indiana","180","Gibson","0510","Gibson","22","510",30720,"No change"
"G1800530","1950","Indiana","180","Grant","0530","Grant","22","530",62156,"Increase 0% to 19%"
"G1800550","1950","Indiana","180","Greene","0550","Greene","22","550",27886,"Decrease 0% to 19%"
"G1800570","1950","Indiana","180","Hamilton","0570","Hamilton","22","570",28491,"Increase 0% to 19%"
"G1800590","1950","Indiana","180","Hancock","0590","Hancock","22","590",20332,"Increase 0% to 19%"
"G1800610","1950","Indiana","180","Harrison","0610","Harrison","22","610",17858,"Increase 0% to 19%"
"G1800630","1950","Indiana","180","Hendricks","0630","Hendricks","22","630",24594,"Increase 20% to 39%"
"G1800650","1950","Indiana","180","Henry","0650","Henry","22","650",45505,"Increase 0% to 19%"
"G1800670","1950","Indiana","180","Howard","0670","Howard","22","670",54498,"Increase 0% to 19%"
"G1800690","1950","Indiana","180","Huntington","0690","Huntington","22","690",31400,"Increase 0% to 19%"
"G1800710","1950","Indiana","180","Jackson","0710","Jackson","22","710",28237,"Increase 0% to 19%"
"G1800730","1950","Indiana","180","Jasper","0730","Jasper","22","730",17031,"Increase 0% to 19%"
"G1800750","1950","Indiana","180","Jay","0750","Jay","22","750",23157,"Increase 0% to 19%"
"G1800770","1950","Indiana","180","Jefferson","0770","Jefferson","22","770",21613,"Increase 0% to 19%"
"G1800790","1950","Indiana","180","Jennings","0790","Jennings","22","790",15250,"Increase 0% to 19%"
"G1800810","1950","Indiana","180","Johnson","0810","Johnson","22","810",26183,"Increase 0% to 19%"
"G1800830","1950","Indiana","180","Knox","0830","Knox","22","830",43415,"Decrease 0% to 19%"
"G1800850","1950","Indiana","180","Kosciusko","0850","Kosciusko","22","850",33002,"Increase 0% to 19%"
"G1800870","1950","Indiana","180","Lagrange","0870","Lagrange","22","870",15347,"Increase 0% to 19%"
"G1800890","1950","Indiana","180","Lake","0890","Lake","22","890",368152,"Increase 20% to 39%"
"G1800910","1950","Indiana","180","LaPorte","0910","Laporte","22","910",76808,"Increase 20% to 39%"
"G1800930","1950","Indiana","180","Lawrence","0930","Lawrence","22","930",34346,"Decrease 0% to 19%"
"G1800950","1950","Indiana","180","Madison","0950","Madison","22","950",103911,"Increase 0% to 19%"
"G1800970","1950","Indiana","180","Marion","0970","Marion","22","970",551777,"Increase 0% to 19%"
"G1800990","1950","Indiana","180","Marshall","0990","Marshall","22","990",29468,"Increase 0% to 19%"
"G1801010","1950","Indiana","180","Martin","1010","Martin","22","1010",10678,"Increase 0% to 19%"
"G1801030","1950","Indiana","180","Miami","1030","Miami","22","1030",28201,"Increase 0% to 19%"
"G1801050","1950","Indiana","180","Monroe","1050","Monroe","22","1050",50080,"Increase 20% to 39%"
"G1801070","1950","Indiana","180","Montgomery","1070","Montgomery","22","1070",29122,"Increase 0% to 19%"
"G1801090","1950","Indiana","180","Morgan","1090","Morgan","22","1090",23726,"Increase 0% to 19%"
"G1801110","1950","Indiana","180","Newton","1110","Newton","22","1110",11006,"Increase 0% to 19%"
"G1801130","1950","Indiana","180","Noble","1130","Noble","22","1130",25075,"Increase 0% to 19%"
"G1801150","1950","Indiana","180","Ohio","1150","Ohio","22","1150",4223,"Increase 0% to 19%"
"G1801170","1950","Indiana","180","Orange","1170","Orange","22","1170",16879,"Decrease 0% to 19%"
"G1801190","1950","Indiana","180","Owen","1190","Owen","22","1190",11763,"Decrease 0% to 19%"
"G1801210","1950","Indiana","180","Parke","1210","Parke","22","1210",15674,"Decrease 0% to 19%"
"G1801230","1950","Indiana","180","Perry","1230","Perry","22","1230",17367,"Decrease 0% to 19%"
"G1801250","1950","Indiana","180","Pike","1250","Pike","22","1250",14995,"Decrease 0% to 19%"
"G1801270","1950","Indiana","180","Porter","1270","Porter","22","1270",40076,"Increase 40% to 59%"
"G1801290","1950","Indiana","180","Posey","1290","Posey","22","1290",19818,"Increase 0% to 19%"
"G1801310","1950","Indiana","180","Pulaski","1310","Pulaski","22","1310",12493,"Increase 0% to 19%"
"G1801330","1950","Indiana","180","Putnam","1330","Putnam","22","1330",22950,"Increase 0% to 19%"
"G1801350","1950","Indiana","180","Randolph","1350","Randolph","22","1350",27141,"Increase 0% to 19%"
"G1801370","1950","Indiana","180","Ripley","1370","Ripley","22","1370",18763,"Decrease 0% to 19%"
"G1801390","1950","Indiana","180","Rush","1390","Rush","22","1390",19799,"Increase 0% to 19%"
"G1801410","1950","Indiana","180","St Joseph","1410","St Joseph","22","1410",205058,"Increase 20% to 39%"
"G1801430","1950","Indiana","180","Scott","1430","Scott","22","1430",11519,"Increase 20% to 39%"
"G1801450","1950","Indiana","180","Shelby","1450","Shelby","22","1450",28026,"Increase 0% to 19%"
"G1801470","1950","Indiana","180","Spencer","1470","Spencer","22","1470",16174,"Decrease 0% to 19%"
"G1801490","1950","Indiana","180","Starke","1490","Starke","22","1490",15282,"Increase 20% to 39%"
"G1801510","1950","Indiana","180","Steuben","1510","Steuben","22","1510",17087,"Increase 20% to 39%"
"G1801530","1950","Indiana","180","Sullivan","1530","Sullivan","22","1530",23667,"Decrease 0% to 19%"
"G1801550","1950","Indiana","180","Switzerland","1550","Switzerland","22","1550",7599,"Decrease 0% to 19%"
"G1801570","1950","Indiana","180","Tippecanoe","1570","Tippecanoe","22","1570",74473,"Increase 40% to 59%"
"G1801590","1950","Indiana","180","Tipton","1590","Tipton","22","1590",15566,"Increase 0% to 19%"
"G1801610","1950","Indiana","180","Union","1610","Union","22","1610",6412,"Increase 0% to 19%"
"G1801630","1950","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",160422,"Increase 20% to 39%"
"G1801650","1950","Indiana","180","Vermillion","1650","Vermillion","22","1650",19723,"Decrease 0% to 19%"
"G1801670","1950","Indiana","180","Vigo","1670","Vigo","22","1670",105160,"Increase 0% to 19%"
"G1801690","1950","Indiana","180","Wabash","1690","Wabash","22","1690",29047,"Increase 0% to 19%"
"G1801710","1950","Indiana","180","Warren","1710","Warren","22","1710",8535,"Decrease 0% to 19%"
"G1801730","1950","Indiana","180","Warrick","1730","Warrick","22","1730",21527,"Increase 0% to 19%"
"G1801750","1950","Indiana","180","Washington","1750","Washington","22","1750",16520,"Decrease 0% to 19%"
"G1801770","1950","Indiana","180","Wayne","1770","Wayne","22","1770",68566,"Increase 0% to 19%"
"G1801790","1950","Indiana","180","Wells","1790","Wells","22","1790",19564,"Increase 0% to 19%"
"G1801810","1950","Indiana","180","White","1810","White","22","1810",18042,"Increase 0% to 19%"
"G1801830","1950","Indiana","180","Whitley","1830","Whitley","22","1830",18828,"Increase 0% to 19%"
"G1900010","1950","Iowa","190","Adair","0010","Adair","31","10",12292,"Decrease 0% to 19%"
"G1900030","1950","Iowa","190","Adams","0030","Adams","31","30",8753,"Decrease 0% to 19%"
"G1900050","1950","Iowa","190","Allamakee","0050","Allamakee","31","50",16351,"Decrease 0% to 19%"
"G1900070","1950","Iowa","190","Appanoose","0070","Appanoose","31","70",19683,"Decrease 0% to 19%"
"G1900090","1950","Iowa","190","Audubon","0090","Audubon","31","90",11579,"Decrease 0% to 19%"
"G1900110","1950","Iowa","190","Benton","0110","Benton","31","110",22656,"Decrease 0% to 19%"
"G1900130","1950","Iowa","190","Black Hawk","0130","Black Hawk","31","130",100448,"Increase 20% to 39%"
