GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BDP001,BEQ001
"G0400150","1930","Arizona","040","Mohave","0150","Mohave","61","150",5572,5572
"G0400170","1930","Arizona","040","Navajo","0170","Navajo","61","170",21202,21202
"G0400190","1930","Arizona","040","Pima","0190","Pima","61","190",55676,55676
"G0400210","1930","Arizona","040","Pinal","0210","Pinal","61","210",22081,22081
"G0400230","1930","Arizona","040","Santa Cruz","0230","Santa Cruz","61","230",9684,9684
"G0400250","1930","Arizona","040","Yavapai","0250","Yavapai","61","250",28470,28470
"G0400270","1930","Arizona","040","Yuma","0270","Yuma","61","270",17816,17816
"G0500010","1930","Arkansas","050","Arkansas","0010","Arkansas","42","10",22300,22300
"G0500030","1930","Arkansas","050","Ashley","0030","Ashley","42","30",25151,25151
"G0500050","1930","Arkansas","050","Baxter","0050","Baxter","42","50",9519,9519
"G0500070","1930","Arkansas","050","Benton","0070","Benton","42","70",35253,35253
"G0500090","1930","Arkansas","050","Boone","0090","Boone","42","90",14937,14937
"G0500110","1930","Arkansas","050","Bradley","0110","Bradley","42","110",17494,17494
"G0500130","1930","Arkansas","050","Calhoun","0130","Calhoun","42","130",9752,9752
"G0500150","1930","Arkansas","050","Carroll","0150","Carroll","42","150",15820,15820
"G0500170","1930","Arkansas","050","Chicot","0170","Chicot","42","170",22646,22646
"G0500190","1930","Arkansas","050","Clark","0190","Clark","42","190",24932,24932
"G0500210","1930","Arkansas","050","Clay","0210","Clay","42","210",27278,27278
"G0500230","1930","Arkansas","050","Cleburne","0230","Cleburne","42","230",11373,11373
"G0500250","1930","Arkansas","050","Cleveland","0250","Cleveland","42","250",12744,12744
"G0500270","1930","Arkansas","050","Columbia","0270","Columbia","42","270",27320,27320
"G0500290","1930","Arkansas","050","Conway","0290","Conway","42","290",21949,21949
"G0500310","1930","Arkansas","050","Craighead","0310","Craighead","42","310",44740,44740
"G0500330","1930","Arkansas","050","Crawford","0330","Crawford","42","330",22549,22549
"G0500350","1930","Arkansas","050","Crittenden","0350","Crittenden","42","350",39717,39717
"G0500370","1930","Arkansas","050","Cross","0370","Cross","42","370",25723,25723
"G0500390","1930","Arkansas","050","Dallas","0390","Dallas","42","390",14671,14671
"G0500410","1930","Arkansas","050","Desha","0410","Desha","42","410",21814,21814
"G0500430","1930","Arkansas","050","Drew","0430","Drew","42","430",19928,19928
"G0500450","1930","Arkansas","050","Faulkner","0450","Faulkner","42","450",28381,28381
"G0500470","1930","Arkansas","050","Franklin","0470","Franklin","42","470",15762,15762
"G0500490","1930","Arkansas","050","Fulton","0490","Fulton","42","490",10834,10834
"G0500510","1930","Arkansas","050","Garland","0510","Garland","42","510",36031,36031
"G0500530","1930","Arkansas","050","Grant","0530","Grant","42","530",9834,9834
"G0500550","1930","Arkansas","050","Greene","0550","Greene","42","550",26127,26127
"G0500570","1930","Arkansas","050","Hempstead","0570","Hempstead","42","570",30847,30847
"G0500590","1930","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",18105,18105
"G0500610","1930","Arkansas","050","Howard","0610","Howard","42","610",17489,17489
"G0500630","1930","Arkansas","050","Independence","0630","Independence","42","630",24225,24225
"G0500650","1930","Arkansas","050","Izard","0650","Izard","42","650",12872,12872
"G0500670","1930","Arkansas","050","Jackson","0670","Jackson","42","670",27943,27943
"G0500690","1930","Arkansas","050","Jefferson","0690","Jefferson","42","690",64154,64154
"G0500710","1930","Arkansas","050","Johnson","0710","Johnson","42","710",19289,19289
"G0500730","1930","Arkansas","050","Lafayette","0730","Lafayette","42","730",16934,16934
"G0500750","1930","Arkansas","050","Lawrence","0750","Lawrence","42","750",21663,21663
"G0500770","1930","Arkansas","050","Lee","0770","Lee","42","770",26637,26637
"G0500790","1930","Arkansas","050","Lincoln","0790","Lincoln","42","790",20250,20250
"G0500810","1930","Arkansas","050","Little River","0810","Little River","42","810",15515,15515
"G0500830","1930","Arkansas","050","Logan","0830","Logan","42","830",24110,24110
"G0500850","1930","Arkansas","050","Lonoke","0850","Lonoke","42","850",33759,33759
"G0500870","1930","Arkansas","050","Madison","0870","Madison","42","870",13334,13334
"G0500890","1930","Arkansas","050","Marion","0890","Marion","42","890",8876,8876
"G0500910","1930","Arkansas","050","Miller","0910","Miller","42","910",30586,30586
"G0500930","1930","Arkansas","050","Mississippi","0930","Mississippi","42","930",69289,69289
"G0500950","1930","Arkansas","050","Monroe","0950","Monroe","42","950",20651,20651
"G0500970","1930","Arkansas","050","Montgomery","0970","Montgomery","42","970",10768,10768
"G0500990","1930","Arkansas","050","Nevada","0990","Nevada","42","990",20407,20407
"G0501010","1930","Arkansas","050","Newton","1010","Newton","42","1010",10564,10564
"G0501030","1930","Arkansas","050","Ouachita","1030","Ouachita","42","1030",29890,29890
"G0501050","1930","Arkansas","050","Perry","1050","Perry","42","1050",7695,7695
"G0501070","1930","Arkansas","050","Phillips","1070","Phillips","42","1070",40683,40683
"G0501090","1930","Arkansas","050","Pike","1090","Pike","42","1090",11792,11792
"G0501110","1930","Arkansas","050","Poinsett","1110","Poinsett","42","1110",29695,29695
"G0501130","1930","Arkansas","050","Polk","1130","Polk","42","1130",14857,14857
"G0501150","1930","Arkansas","050","Pope","1150","Pope","42","1150",26547,26547
"G0501170","1930","Arkansas","050","Prairie","1170","Prairie","42","1170",15187,15187
"G0501190","1930","Arkansas","050","Pulaski","1190","Pulaski","42","1190",137727,137727
"G0501210","1930","Arkansas","050","Randolph","1210","Randolph","42","1210",16871,16871
"G0501230","1930","Arkansas","050","St Francis","1230","St Francis","42","1230",33394,33394
"G0501250","1930","Arkansas","050","Saline","1250","Saline","42","1250",15660,15660
"G0501270","1930","Arkansas","050","Scott","1270","Scott","42","1270",11803,11803
"G0501290","1930","Arkansas","050","Searcy","1290","Searcy","42","1290",11056,11056
"G0501310","1930","Arkansas","050","Sebastian","1310","Sebastian","42","1310",54426,54426
