GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G0450235","1900","Arizona Territory","045","Santa Cruz","0235","Santa Cruz","61","230",4545,4545
"G0450255","1900","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",13799,13799
"G0450275","1900","Arizona Territory","045","Yuma","0275","Yuma","61","270",4145,4145
"G0459015","1900","Arizona Territory","045","Colorado River Indian Reservation","9015","Colorado River Indian Reservation","61","8020",,
"G0459035","1900","Arizona Territory","045","Fort Apache Indian Reservation","9035","Fort Apache Indian Reservation","61","8030",,
"G0459055","1900","Arizona Territory","045","Gila Bend Indian Reservation","9055","Gila Bend Indian Reservation","61","8040",,
"G0459075","1900","Arizona Territory","045","Gila River and Salt River Indian Reservations","9075","Gila River and Salt River Indian Reservations","61","8050",,
"G0459095","1900","Arizona Territory","045","Moqui Indian Reservation","9095","Moqui Indian Reservation","61","8060",,
"G0459115","1900","Arizona Territory","045","Navaho Indian Reservation","9115","Navaho Indian Reservation","61","8070",,
"G0459135","1900","Arizona Territory","045","Papago Indian Reservation","9135","Papago Indian Reservation","61","8080",,
"G0459155","1900","Arizona Territory","045","San Carlos Indian Reservation","9155","San Carlos Indian Reservation","61","8010",3065,3065
"G0459175","1900","Arizona Territory","045","Supai and Walapai Indian Reservations","9175","Supai and Walapai Indian Reservations","61","8090",,
"G0500010","1900","Arkansas","050","Arkansas","0010","Arkansas","42","10",12973,12973
"G0500030","1900","Arkansas","050","Ashley","0030","Ashley","42","30",19734,19734
"G0500050","1900","Arkansas","050","Baxter","0050","Baxter","42","50",9298,9298
"G0500070","1900","Arkansas","050","Benton","0070","Benton","42","70",31611,31611
"G0500090","1900","Arkansas","050","Boone","0090","Boone","42","90",16396,16396
"G0500110","1900","Arkansas","050","Bradley","0110","Bradley","42","110",9651,9651
"G0500130","1900","Arkansas","050","Calhoun","0130","Calhoun","42","130",8539,8539
"G0500150","1900","Arkansas","050","Carroll","0150","Carroll","42","150",18848,18848
"G0500170","1900","Arkansas","050","Chicot","0170","Chicot","42","170",14528,14528
"G0500190","1900","Arkansas","050","Clark","0190","Clark","42","190",21289,21289
"G0500210","1900","Arkansas","050","Clay","0210","Clay","42","210",15886,15886
"G0500230","1900","Arkansas","050","Cleburne","0230","Cleburne","42","230",9628,9628
"G0500250","1900","Arkansas","050","Cleveland","0250","Cleveland","42","250",11620,11620
"G0500270","1900","Arkansas","050","Columbia","0270","Columbia","42","270",22077,22077
"G0500290","1900","Arkansas","050","Conway","0290","Conway","42","290",19772,19772
"G0500310","1900","Arkansas","050","Craighead","0310","Craighead","42","310",19505,19505
"G0500330","1900","Arkansas","050","Crawford","0330","Crawford","42","330",21270,21270
"G0500350","1900","Arkansas","050","Crittenden","0350","Crittenden","42","350",14529,14529
"G0500370","1900","Arkansas","050","Cross","0370","Cross","42","370",11051,11051
"G0500390","1900","Arkansas","050","Dallas","0390","Dallas","42","390",11518,11518
"G0500410","1900","Arkansas","050","Desha","0410","Desha","42","410",11511,11511
"G0500430","1900","Arkansas","050","Drew","0430","Drew","42","430",19451,19451
"G0500450","1900","Arkansas","050","Faulkner","0450","Faulkner","42","450",20780,20780
"G0500470","1900","Arkansas","050","Franklin","0470","Franklin","42","470",17395,17395
"G0500490","1900","Arkansas","050","Fulton","0490","Fulton","42","490",12917,12917
"G0500510","1900","Arkansas","050","Garland","0510","Garland","42","510",18773,18773
"G0500530","1900","Arkansas","050","Grant","0530","Grant","42","530",7671,7671
"G0500550","1900","Arkansas","050","Greene","0550","Greene","42","550",16979,16979
"G0500570","1900","Arkansas","050","Hempstead","0570","Hempstead","42","570",24101,24101
"G0500590","1900","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",12748,12748
"G0500610","1900","Arkansas","050","Howard","0610","Howard","42","610",14076,14076
"G0500630","1900","Arkansas","050","Independence","0630","Independence","42","630",22557,22557
"G0500650","1900","Arkansas","050","Izard","0650","Izard","42","650",13506,13506
"G0500670","1900","Arkansas","050","Jackson","0670","Jackson","42","670",18383,18383
"G0500690","1900","Arkansas","050","Jefferson","0690","Jefferson","42","690",40972,40972
"G0500710","1900","Arkansas","050","Johnson","0710","Johnson","42","710",17448,17448
"G0500730","1900","Arkansas","050","Lafayette","0730","Lafayette","42","730",10594,10594
"G0500750","1900","Arkansas","050","Lawrence","0750","Lawrence","42","750",16491,16491
"G0500770","1900","Arkansas","050","Lee","0770","Lee","42","770",19409,19409
"G0500790","1900","Arkansas","050","Lincoln","0790","Lincoln","42","790",13389,13389
"G0500810","1900","Arkansas","050","Little River","0810","Little River","42","810",13731,13731
"G0500830","1900","Arkansas","050","Logan","0830","Logan","42","830",20563,20563
"G0500850","1900","Arkansas","050","Lonoke","0850","Lonoke","42","850",22544,22544
"G0500870","1900","Arkansas","050","Madison","0870","Madison","42","870",19864,19864
"G0500890","1900","Arkansas","050","Marion","0890","Marion","42","890",11377,11377
"G0500910","1900","Arkansas","050","Miller","0910","Miller","42","910",17558,17558
"G0500930","1900","Arkansas","050","Mississippi","0930","Mississippi","42","930",16384,16384
"G0500950","1900","Arkansas","050","Monroe","0950","Monroe","42","950",16816,16816
"G0500970","1900","Arkansas","050","Montgomery","0970","Montgomery","42","970",9444,9444
"G0500990","1900","Arkansas","050","Nevada","0990","Nevada","42","990",16609,16609
"G0501010","1900","Arkansas","050","Newton","1010","Newton","42","1010",12538,12538
"G0501030","1900","Arkansas","050","Ouachita","1030","Ouachita","42","1030",20892,20892
"G0501050","1900","Arkansas","050","Perry","1050","Perry","42","1050",7294,7294
"G0501070","1900","Arkansas","050","Phillips","1070","Phillips","42","1070",26561,26561
"G0501090","1900","Arkansas","050","Pike","1090","Pike","42","1090",10301,10301
"G0501110","1900","Arkansas","050","Poinsett","1110","Poinsett","42","1110",7025,7025
"G0501130","1900","Arkansas","050","Polk","1130","Polk","42","1130",18352,18352
"G0501150","1900","Arkansas","050","Pope","1150","Pope","42","1150",21715,21715
"G0501170","1900","Arkansas","050","Prairie","1170","Prairie","42","1170",11875,11875
"G0501190","1900","Arkansas","050","Pulaski","1190","Pulaski","42","1190",63179,63179
"G0501210","1900","Arkansas","050","Randolph","1210","Randolph","42","1210",17156,17156
"G0501230","1900","Arkansas","050","St Francis","1230","St Francis","42","1230",17157,17157
"G0501250","1900","Arkansas","050","Saline","1250","Saline","42","1250",13122,13122
"G0501270","1900","Arkansas","050","Scott","1270","Scott","42","1270",13183,13183
"G0501290","1900","Arkansas","050","Searcy","1290","Searcy","42","1290",11988,11988
"G0501310","1900","Arkansas","050","Sebastian","1310","Sebastian","42","1310",36935,36935
"G0501330","1900","Arkansas","050","Sevier","1330","Sevier","42","1330",16339,16339
"G0501350","1900","Arkansas","050","Sharp","1350","Sharp","42","1350",12199,12199
"G0501370","1900","Arkansas","050","Stone","1370","Stone","42","1370",8100,8100
