GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G0400150","1920","Arizona","040","Mohave","0150","Mohave","61","150",5259,5259
"G0400170","1920","Arizona","040","Navajo","0170","Navajo","61","170",16077,16077
"G0400190","1920","Arizona","040","Pima","0190","Pima","61","190",34680,34680
"G0400210","1920","Arizona","040","Pinal","0210","Pinal","61","210",16130,16130
"G0400230","1920","Arizona","040","Santa Cruz","0230","Santa Cruz","61","230",12689,12689
"G0400250","1920","Arizona","040","Yavapai","0250","Yavapai","61","250",24016,24016
"G0400270","1920","Arizona","040","Yuma","0270","Yuma","61","270",14904,14904
"G0500010","1920","Arkansas","050","Arkansas","0010","Arkansas","42","10",21483,21483
"G0500030","1920","Arkansas","050","Ashley","0030","Ashley","42","30",23410,23410
"G0500050","1920","Arkansas","050","Baxter","0050","Baxter","42","50",10216,10216
"G0500070","1920","Arkansas","050","Benton","0070","Benton","42","70",36253,36253
"G0500090","1920","Arkansas","050","Boone","0090","Boone","42","90",16098,16098
"G0500110","1920","Arkansas","050","Bradley","0110","Bradley","42","110",15970,15970
"G0500130","1920","Arkansas","050","Calhoun","0130","Calhoun","42","130",11807,11807
"G0500150","1920","Arkansas","050","Carroll","0150","Carroll","42","150",17786,17786
"G0500170","1920","Arkansas","050","Chicot","0170","Chicot","42","170",21749,21749
"G0500190","1920","Arkansas","050","Clark","0190","Clark","42","190",25632,25632
"G0500210","1920","Arkansas","050","Clay","0210","Clay","42","210",27276,27276
"G0500230","1920","Arkansas","050","Cleburne","0230","Cleburne","42","230",12696,12696
"G0500250","1920","Arkansas","050","Cleveland","0250","Cleveland","42","250",12260,12260
"G0500270","1920","Arkansas","050","Columbia","0270","Columbia","42","270",27670,27670
"G0500290","1920","Arkansas","050","Conway","0290","Conway","42","290",22578,22578
"G0500310","1920","Arkansas","050","Craighead","0310","Craighead","42","310",37541,37541
"G0500330","1920","Arkansas","050","Crawford","0330","Crawford","42","330",25739,25739
"G0500350","1920","Arkansas","050","Crittenden","0350","Crittenden","42","350",29309,29309
"G0500370","1920","Arkansas","050","Cross","0370","Cross","42","370",18579,18579
"G0500390","1920","Arkansas","050","Dallas","0390","Dallas","42","390",14424,14424
"G0500410","1920","Arkansas","050","Desha","0410","Desha","42","410",20297,20297
"G0500430","1920","Arkansas","050","Drew","0430","Drew","42","430",21822,21822
"G0500450","1920","Arkansas","050","Faulkner","0450","Faulkner","42","450",27681,27681
"G0500470","1920","Arkansas","050","Franklin","0470","Franklin","42","470",19364,19364
"G0500490","1920","Arkansas","050","Fulton","0490","Fulton","42","490",11182,11182
"G0500510","1920","Arkansas","050","Garland","0510","Garland","42","510",25785,25785
"G0500530","1920","Arkansas","050","Grant","0530","Grant","42","530",10710,10710
"G0500550","1920","Arkansas","050","Greene","0550","Greene","42","550",26105,26105
"G0500570","1920","Arkansas","050","Hempstead","0570","Hempstead","42","570",31602,31602
"G0500590","1920","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",17784,17784
"G0500610","1920","Arkansas","050","Howard","0610","Howard","42","610",18565,18565
"G0500630","1920","Arkansas","050","Independence","0630","Independence","42","630",23976,23976
"G0500650","1920","Arkansas","050","Izard","0650","Izard","42","650",13871,13871
"G0500670","1920","Arkansas","050","Jackson","0670","Jackson","42","670",25446,25446
"G0500690","1920","Arkansas","050","Jefferson","0690","Jefferson","42","690",60330,60330
"G0500710","1920","Arkansas","050","Johnson","0710","Johnson","42","710",21062,21062
"G0500730","1920","Arkansas","050","Lafayette","0730","Lafayette","42","730",15522,15522
"G0500750","1920","Arkansas","050","Lawrence","0750","Lawrence","42","750",22098,22098
"G0500770","1920","Arkansas","050","Lee","0770","Lee","42","770",28852,28852
"G0500790","1920","Arkansas","050","Lincoln","0790","Lincoln","42","790",18774,18774
"G0500810","1920","Arkansas","050","Little River","0810","Little River","42","810",16301,16301
"G0500830","1920","Arkansas","050","Logan","0830","Logan","42","830",25866,25866
