GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A3Y001,A3Y002
"G0450255","1910","Arizona Territory","045","Yavapai","0255","Yavapai","61","250",15996,13799
"G0450275","1910","Arizona Territory","045","Yuma","0275","Yuma","61","270",7733,4145
"G0500010","1910","Arkansas","050","Arkansas","0010","Arkansas","42","10",16103,12973
"G0500030","1910","Arkansas","050","Ashley","0030","Ashley","42","30",25268,19734
"G0500050","1910","Arkansas","050","Baxter","0050","Baxter","42","50",10389,9298
"G0500070","1910","Arkansas","050","Benton","0070","Benton","42","70",33389,31611
"G0500090","1910","Arkansas","050","Boone","0090","Boone","42","90",14318,16396
"G0500110","1910","Arkansas","050","Bradley","0110","Bradley","42","110",14518,9651
"G0500130","1910","Arkansas","050","Calhoun","0130","Calhoun","42","130",9894,8539
"G0500150","1910","Arkansas","050","Carroll","0150","Carroll","42","150",16829,18848
"G0500170","1910","Arkansas","050","Chicot","0170","Chicot","42","170",21987,14528
"G0500190","1910","Arkansas","050","Clark","0190","Clark","42","190",23686,21289
"G0500210","1910","Arkansas","050","Clay","0210","Clay","42","210",23690,15886
"G0500230","1910","Arkansas","050","Cleburne","0230","Cleburne","42","230",11903,9628
"G0500250","1910","Arkansas","050","Cleveland","0250","Cleveland","42","250",13481,11620
"G0500270","1910","Arkansas","050","Columbia","0270","Columbia","42","270",23820,20580
"G0500290","1910","Arkansas","050","Conway","0290","Conway","42","290",22729,19772
"G0500310","1910","Arkansas","050","Craighead","0310","Craighead","42","310",27627,19505
"G0500330","1910","Arkansas","050","Crawford","0330","Crawford","42","330",23942,21270
"G0500350","1910","Arkansas","050","Crittenden","0350","Crittenden","42","350",22447,14529
"G0500370","1910","Arkansas","050","Cross","0370","Cross","42","370",14042,11051
"G0500390","1910","Arkansas","050","Dallas","0390","Dallas","42","390",12621,11518
"G0500410","1910","Arkansas","050","Desha","0410","Desha","42","410",15274,11511
"G0500430","1910","Arkansas","050","Drew","0430","Drew","42","430",21960,19451
"G0500450","1910","Arkansas","050","Faulkner","0450","Faulkner","42","450",23708,20780
"G0500470","1910","Arkansas","050","Franklin","0470","Franklin","42","470",20638,17395
"G0500490","1910","Arkansas","050","Fulton","0490","Fulton","42","490",12193,12917
"G0500510","1910","Arkansas","050","Garland","0510","Garland","42","510",27271,18773
"G0500530","1910","Arkansas","050","Grant","0530","Grant","42","530",9425,7671
"G0500550","1910","Arkansas","050","Greene","0550","Greene","42","550",23852,16979
"G0500570","1910","Arkansas","050","Hempstead","0570","Hempstead","42","570",28285,24101
"G0500590","1910","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",15022,12748
"G0500610","1910","Arkansas","050","Howard","0610","Howard","42","610",16898,14076
"G0500630","1910","Arkansas","050","Independence","0630","Independence","42","630",24776,22557
"G0500650","1910","Arkansas","050","Izard","0650","Izard","42","650",14561,13506
"G0500670","1910","Arkansas","050","Jackson","0670","Jackson","42","670",23501,18383
"G0500690","1910","Arkansas","050","Jefferson","0690","Jefferson","42","690",52734,40972
"G0500710","1910","Arkansas","050","Johnson","0710","Johnson","42","710",19698,17448
"G0500730","1910","Arkansas","050","Lafayette","0730","Lafayette","42","730",13741,12091
"G0500750","1910","Arkansas","050","Lawrence","0750","Lawrence","42","750",20001,16491
"G0500770","1910","Arkansas","050","Lee","0770","Lee","42","770",24252,19409
"G0500790","1910","Arkansas","050","Lincoln","0790","Lincoln","42","790",15118,13389
"G0500810","1910","Arkansas","050","Little River","0810","Little River","42","810",13597,13731
"G0500830","1910","Arkansas","050","Logan","0830","Logan","42","830",26350,21612
"G0500850","1910","Arkansas","050","Lonoke","0850","Lonoke","42","850",27983,22544
"G0500870","1910","Arkansas","050","Madison","0870","Madison","42","870",16056,19864
"G0500890","1910","Arkansas","050","Marion","0890","Marion","42","890",10203,11377
"G0500910","1910","Arkansas","050","Miller","0910","Miller","42","910",19555,17558
"G0500930","1910","Arkansas","050","Mississippi","0930","Mississippi","42","930",30468,16499
"G0500950","1910","Arkansas","050","Monroe","0950","Monroe","42","950",19907,16816
"G0500970","1910","Arkansas","050","Montgomery","0970","Montgomery","42","970",12455,9444
"G0500990","1910","Arkansas","050","Nevada","0990","Nevada","42","990",19344,16609
"G0501010","1910","Arkansas","050","Newton","1010","Newton","42","1010",10612,12538
"G0501030","1910","Arkansas","050","Ouachita","1030","Ouachita","42","1030",21774,20892
"G0501050","1910","Arkansas","050","Perry","1050","Perry","42","1050",9402,7294
"G0501070","1910","Arkansas","050","Phillips","1070","Phillips","42","1070",33535,26561
"G0501090","1910","Arkansas","050","Pike","1090","Pike","42","1090",12565,10301
"G0501110","1910","Arkansas","050","Poinsett","1110","Poinsett","42","1110",12791,7025
"G0501130","1910","Arkansas","050","Polk","1130","Polk","42","1130",17216,18352
"G0501150","1910","Arkansas","050","Pope","1150","Pope","42","1150",24527,21715
"G0501170","1910","Arkansas","050","Prairie","1170","Prairie","42","1170",13853,11875
