GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A3Y001,A3Y002
"G1701250","1910","Illinois","170","Mason","1250","Mason","21","1250",17377,17491
"G1701270","1910","Illinois","170","Massac","1270","Massac","21","1270",14200,13110
"G1701290","1910","Illinois","170","Menard","1290","Menard","21","1290",12796,14336
"G1701310","1910","Illinois","170","Mercer","1310","Mercer","21","1310",19723,20945
"G1701330","1910","Illinois","170","Monroe","1330","Monroe","21","1330",13508,13847
"G1701350","1910","Illinois","170","Montgomery","1350","Montgomery","21","1350",35311,30836
"G1701370","1910","Illinois","170","Morgan","1370","Morgan","21","1370",34420,35006
"G1701390","1910","Illinois","170","Moultrie","1390","Moultrie","21","1390",14630,15224
"G1701410","1910","Illinois","170","Ogle","1410","Ogle","21","1410",27864,29129
"G1701430","1910","Illinois","170","Peoria","1430","Peoria","21","1430",100255,88608
"G1701450","1910","Illinois","170","Perry","1450","Perry","21","1450",22088,19830
"G1701470","1910","Illinois","170","Piatt","1470","Piatt","21","1470",16376,17706
"G1701490","1910","Illinois","170","Pike","1490","Pike","21","1490",28622,31595
"G1701510","1910","Illinois","170","Pope","1510","Pope","21","1510",11215,13585
"G1701530","1910","Illinois","170","Pulaski","1530","Pulaski","21","1530",15650,14554
"G1701550","1910","Illinois","170","Putnam","1550","Putnam","21","1550",7561,4746
"G1701570","1910","Illinois","170","Randolph","1570","Randolph","21","1570",29120,28001
"G1701590","1910","Illinois","170","Richland","1590","Richland","21","1590",15970,16391
"G1701610","1910","Illinois","170","Rock Island","1610","Rock Island","21","1610",70404,55249
"G1701630","1910","Illinois","170","St Clair","1630","St Clair","21","1630",119870,86685
"G1701650","1910","Illinois","170","Saline","1650","Saline","21","1650",30204,21685
"G1701670","1910","Illinois","170","Sangamon","1670","Sangamon","21","1670",91024,71593
"G1701690","1910","Illinois","170","Schuyler","1690","Schuyler","21","1690",14852,16129
"G1701710","1910","Illinois","170","Scott","1710","Scott","21","1710",10067,10455
"G1701730","1910","Illinois","170","Shelby","1730","Shelby","21","1730",31693,32126
"G1701750","1910","Illinois","170","Stark","1750","Stark","21","1750",10098,10186
"G1701770","1910","Illinois","170","Stephenson","1770","Stephenson","21","1770",36821,34933
"G1701790","1910","Illinois","170","Tazewell","1790","Tazewell","21","1790",34027,33221
"G1701810","1910","Illinois","170","Union","1810","Union","21","1810",21856,22610
"G1701830","1910","Illinois","170","Vermilion","1830","Vermilion","21","1830",77996,65635
"G1701850","1910","Illinois","170","Wabash","1850","Wabash","21","1850",14913,12583
"G1701870","1910","Illinois","170","Warren","1870","Warren","21","1870",23313,23163
"G1701890","1910","Illinois","170","Washington","1890","Washington","21","1890",18759,19526
"G1701910","1910","Illinois","170","Wayne","1910","Wayne","21","1910",25697,27626
"G1701930","1910","Illinois","170","White","1930","White","21","1930",23052,25386
"G1701950","1910","Illinois","170","Whiteside","1950","Whiteside","21","1950",34507,34710
"G1701970","1910","Illinois","170","Will","1970","Will","21","1970",84371,74764
"G1701990","1910","Illinois","170","Williamson","1990","Williamson","21","1990",45098,27796
"G1702010","1910","Illinois","170","Winnebago","2010","Winnebago","21","2010",63153,47845
"G1702030","1910","Illinois","170","Woodford","2030","Woodford","21","2030",20506,21822
"G1800010","1910","Indiana","180","Adams","0010","Adams","22","10",21840,22232
"G1800030","1910","Indiana","180","Allen","0030","Allen","22","30",93386,77270
"G1800050","1910","Indiana","180","Bartholomew","0050","Bartholomew","22","50",24813,24594
"G1800070","1910","Indiana","180","Benton","0070","Benton","22","70",12688,13123
"G1800090","1910","Indiana","180","Blackford","0090","Blackford","22","90",15820,17213
"G1800110","1910","Indiana","180","Boone","0110","Boone","22","110",24673,26321
"G1800130","1910","Indiana","180","Brown","0130","Brown","22","130",7975,9727
"G1800150","1910","Indiana","180","Carroll","0150","Carroll","22","150",17970,19953
"G1800170","1910","Indiana","180","Cass","0170","Cass","22","170",36368,34545
"G1800190","1910","Indiana","180","Clark","0190","Clark","22","190",30260,31835
"G1800210","1910","Indiana","180","Clay","0210","Clay","22","210",32535,34285
"G1800230","1910","Indiana","180","Clinton","0230","Clinton","22","230",26674,28202
"G1800250","1910","Indiana","180","Crawford","0250","Crawford","22","250",12057,13476
"G1800270","1910","Indiana","180","Daviess","0270","Daviess","22","270",27747,29914
"G1800290","1910","Indiana","180","Dearborn","0290","Dearborn","22","290",21396,22194
"G1800310","1910","Indiana","180","Decatur","0310","Decatur","22","310",18793,19518
"G1800330","1910","Indiana","180","DeKalb","0330","De Kalb","22","330",25054,25711
"G1800350","1910","Indiana","180","Delaware","0350","Delaware","22","350",51414,49624
"G1800370","1910","Indiana","180","Dubois","0370","Dubois","22","370",19843,20357
"G1800390","1910","Indiana","180","Elkhart","0390","Elkhart","22","390",49008,45052
"G1800410","1910","Indiana","180","Fayette","0410","Fayette","22","410",14415,13495
"G1800430","1910","Indiana","180","Floyd","0430","Floyd","22","430",30293,30118
"G1800450","1910","Indiana","180","Fountain","0450","Fountain","22","450",20439,21446
"G1800470","1910","Indiana","180","Franklin","0470","Franklin","22","470",15335,16388
"G1800490","1910","Indiana","180","Fulton","0490","Fulton","22","490",16879,17453
"G1800510","1910","Indiana","180","Gibson","0510","Gibson","22","510",30137,30099
"G1800530","1910","Indiana","180","Grant","0530","Grant","22","530",51426,54693
"G1800550","1910","Indiana","180","Greene","0550","Greene","22","550",36873,28530
"G1800570","1910","Indiana","180","Hamilton","0570","Hamilton","22","570",27026,29914
"G1800590","1910","Indiana","180","Hancock","0590","Hancock","22","590",19030,19189
"G1800610","1910","Indiana","180","Harrison","0610","Harrison","22","610",20232,21702
"G1800630","1910","Indiana","180","Hendricks","0630","Hendricks","22","630",20840,21292
"G1800650","1910","Indiana","180","Henry","0650","Henry","22","650",29758,25088
"G1800670","1910","Indiana","180","Howard","0670","Howard","22","670",33177,28575
"G1800690","1910","Indiana","180","Huntington","0690","Huntington","22","690",28982,28901
"G1800710","1910","Indiana","180","Jackson","0710","Jackson","22","710",24727,26633
"G1800730","1910","Indiana","180","Jasper","0730","Jasper","22","730",13044,14292
"G1800750","1910","Indiana","180","Jay","0750","Jay","22","750",24961,26818
"G1800770","1910","Indiana","180","Jefferson","0770","Jefferson","22","770",20483,22913
"G1800790","1910","Indiana","180","Jennings","0790","Jennings","22","790",14203,15757
"G1800810","1910","Indiana","180","Johnson","0810","Johnson","22","810",20394,20223
"G1800830","1910","Indiana","180","Knox","0830","Knox","22","830",39183,32746
"G1800850","1910","Indiana","180","Kosciusko","0850","Kosciusko","22","850",27936,29109
"G1800870","1910","Indiana","180","Lagrange","0870","Lagrange","22","870",15148,15284
"G1800890","1910","Indiana","180","Lake","0890","Lake","22","890",82864,37892
"G1800910","1910","Indiana","180","LaPorte","0910","Laporte","22","910",45797,38386
"G1800930","1910","Indiana","180","Lawrence","0930","Lawrence","22","930",30625,25729
"G1800950","1910","Indiana","180","Madison","0950","Madison","22","950",65224,70470
"G1800970","1910","Indiana","180","Marion","0970","Marion","22","970",263661,197227
"G1800990","1910","Indiana","180","Marshall","0990","Marshall","22","990",24175,25119
"G1801010","1910","Indiana","180","Martin","1010","Martin","22","1010",12950,14711
"G1801030","1910","Indiana","180","Miami","1030","Miami","22","1030",29350,28344
"G1801050","1910","Indiana","180","Monroe","1050","Monroe","22","1050",23426,20873
"G1801070","1910","Indiana","180","Montgomery","1070","Montgomery","22","1070",29296,29388
"G1801090","1910","Indiana","180","Morgan","1090","Morgan","22","1090",21182,20457
"G1801110","1910","Indiana","180","Newton","1110","Newton","22","1110",10504,10448
"G1801130","1910","Indiana","180","Noble","1130","Noble","22","1130",24009,23533
"G1801150","1910","Indiana","180","Ohio","1150","Ohio","22","1150",4329,4724
"G1801170","1910","Indiana","180","Orange","1170","Orange","22","1170",17192,16854
"G1801190","1910","Indiana","180","Owen","1190","Owen","22","1190",14053,15149
"G1801210","1910","Indiana","180","Parke","1210","Parke","22","1210",22214,23000
"G1801230","1910","Indiana","180","Perry","1230","Perry","22","1230",18078,18778
"G1801250","1910","Indiana","180","Pike","1250","Pike","22","1250",19684,20486
"G1801270","1910","Indiana","180","Porter","1270","Porter","22","1270",20540,19175
"G1801290","1910","Indiana","180","Posey","1290","Posey","22","1290",21670,22333
"G1801310","1910","Indiana","180","Pulaski","1310","Pulaski","22","1310",13312,14033
"G1801330","1910","Indiana","180","Putnam","1330","Putnam","22","1330",20520,21478
"G1801350","1910","Indiana","180","Randolph","1350","Randolph","22","1350",29013,28653
"G1801370","1910","Indiana","180","Ripley","1370","Ripley","22","1370",19452,19881
"G1801390","1910","Indiana","180","Rush","1390","Rush","22","1390",19349,20148
"G1801410","1910","Indiana","180","St Joseph","1410","St Joseph","22","1410",84312,58881
"G1801430","1910","Indiana","180","Scott","1430","Scott","22","1430",8323,8307
"G1801450","1910","Indiana","180","Shelby","1450","Shelby","22","1450",26802,26491
"G1801470","1910","Indiana","180","Spencer","1470","Spencer","22","1470",20676,22407
"G1801490","1910","Indiana","180","Starke","1490","Starke","22","1490",10567,10431
"G1801510","1910","Indiana","180","Steuben","1510","Steuben","22","1510",14274,15219
"G1801530","1910","Indiana","180","Sullivan","1530","Sullivan","22","1530",32439,26005
"G1801550","1910","Indiana","180","Switzerland","1550","Switzerland","22","1550",9914,11840
"G1801570","1910","Indiana","180","Tippecanoe","1570","Tippecanoe","22","1570",40063,38659
"G1801590","1910","Indiana","180","Tipton","1590","Tipton","22","1590",17459,19116
"G1801610","1910","Indiana","180","Union","1610","Union","22","1610",6260,6748
"G1801630","1910","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",77438,71769
"G1801650","1910","Indiana","180","Vermillion","1650","Vermillion","22","1650",18865,15252
"G1801670","1910","Indiana","180","Vigo","1670","Vigo","22","1670",87930,62035
"G1801690","1910","Indiana","180","Wabash","1690","Wabash","22","1690",26926,28235
"G1801710","1910","Indiana","180","Warren","1710","Warren","22","1710",10899,11371
"G1801730","1910","Indiana","180","Warrick","1730","Warrick","22","1730",21911,22329
"G1801750","1910","Indiana","180","Washington","1750","Washington","22","1750",17445,19409
"G1801770","1910","Indiana","180","Wayne","1770","Wayne","22","1770",43757,38970
"G1801790","1910","Indiana","180","Wells","1790","Wells","22","1790",22418,23449
"G1801810","1910","Indiana","180","White","1810","White","22","1810",17602,19138
"G1801830","1910","Indiana","180","Whitley","1830","Whitley","22","1830",16892,17328
"G1900010","1910","Iowa","190","Adair","0010","Adair","31","10",14420,16192
"G1900030","1910","Iowa","190","Adams","0030","Adams","31","30",10998,13601
"G1900050","1910","Iowa","190","Allamakee","0050","Allamakee","31","50",17328,18711
"G1900070","1910","Iowa","190","Appanoose","0070","Appanoose","31","70",28701,25927
"G1900090","1910","Iowa","190","Audubon","0090","Audubon","31","90",12671,13626
"G1900110","1910","Iowa","190","Benton","0110","Benton","31","110",23156,25177
"G1900130","1910","Iowa","190","Black Hawk","0130","Black Hawk","31","130",44865,32399
"G1900150","1910","Iowa","190","Boone","0150","Boone","31","150",27626,28200
"G1900170","1910","Iowa","190","Bremer","0170","Bremer","31","170",15843,16305
"G1900190","1910","Iowa","190","Buchanan","0190","Buchanan","31","190",19748,21427
"G1900210","1910","Iowa","190","Buena Vista","0210","Buena Vista","31","210",15981,16975
"G1900230","1910","Iowa","190","Butler","0230","Butler","31","230",17119,17955
"G1900250","1910","Iowa","190","Calhoun","0250","Calhoun","31","250",17090,18569
"G1900270","1910","Iowa","190","Carroll","0270","Carroll","31","270",20117,20319
"G1900290","1910","Iowa","190","Cass","0290","Cass","31","290",19047,21274
"G1900310","1910","Iowa","190","Cedar","0310","Cedar","31","310",17765,19371
"G1900330","1910","Iowa","190","Cerro Gordo","0330","Cerro Gordo","31","330",25011,20672
"G1900350","1910","Iowa","190","Cherokee","0350","Cherokee","31","350",16741,16570
"G1900370","1910","Iowa","190","Chickasaw","0370","Chickasaw","31","370",15375,17037
"G1900390","1910","Iowa","190","Clarke","0390","Clarke","31","390",10736,12440
"G1900410","1910","Iowa","190","Clay","0410","Clay","31","410",12766,13401
"G1900430","1910","Iowa","190","Clayton","0430","Clayton","31","430",25576,27750
"G1900450","1910","Iowa","190","Clinton","0450","Clinton","31","450",45394,43832
"G1900470","1910","Iowa","190","Crawford","0470","Crawford","31","470",20041,21685
"G1900490","1910","Iowa","190","Dallas","0490","Dallas","31","490",23628,23058
"G1900510","1910","Iowa","190","Davis","0510","Davis","31","510",13315,15620
"G1900530","1910","Iowa","190","Decatur","0530","Decatur","31","530",16347,18115
"G1900550","1910","Iowa","190","Delaware","0550","Delaware","31","550",17888,19185
"G1900570","1910","Iowa","190","Des Moines","0570","Des Moines","31","570",36145,35989
"G1900590","1910","Iowa","190","Dickinson","0590","Dickinson","31","590",8137,7995
"G1900610","1910","Iowa","190","Dubuque","0610","Dubuque","31","610",57450,56403
"G1900630","1910","Iowa","190","Emmet","0630","Emmet","31","630",9816,9936
"G1900650","1910","Iowa","190","Fayette","0650","Fayette","31","650",27919,29845
"G1900670","1910","Iowa","190","Floyd","0670","Floyd","31","670",17119,17754
"G1900690","1910","Iowa","190","Franklin","0690","Franklin","31","690",14780,14996
"G1900710","1910","Iowa","190","Fremont","0710","Fremont","31","710",15623,18546
"G1900730","1910","Iowa","190","Greene","0730","Greene","31","730",16023,17820
"G1900750","1910","Iowa","190","Grundy","0750","Grundy","31","750",13574,13757
"G1900770","1910","Iowa","190","Guthrie","0770","Guthrie","31","770",17374,18729
"G1900790","1910","Iowa","190","Hamilton","0790","Hamilton","31","790",19242,19514
"G1900810","1910","Iowa","190","Hancock","0810","Hancock","31","810",12731,13752
"G1900830","1910","Iowa","190","Hardin","0830","Hardin","31","830",20921,22794
"G1900850","1910","Iowa","190","Harrison","0850","Harrison","31","850",23162,25597
"G1900870","1910","Iowa","190","Henry","0870","Henry","31","870",18640,20022
"G1900890","1910","Iowa","190","Howard","0890","Howard","31","890",12920,14512
"G1900910","1910","Iowa","190","Humboldt","0910","Humboldt","31","910",12182,12667
"G1900930","1910","Iowa","190","Ida","0930","Ida","31","930",11296,12327
"G1900950","1910","Iowa","190","Iowa","0950","Iowa","31","950",18409,19544
"G1900970","1910","Iowa","190","Jackson","0970","Jackson","31","970",21258,23615
"G1900990","1910","Iowa","190","Jasper","0990","Jasper","31","990",27034,26976
"G1901010","1910","Iowa","190","Jefferson","1010","Jefferson","31","1010",15951,17437
"G1901030","1910","Iowa","190","Johnson","1030","Johnson","31","1030",25914,24817
"G1901050","1910","Iowa","190","Jones","1050","Jones","31","1050",19050,21954
"G1901070","1910","Iowa","190","Keokuk","1070","Keokuk","31","1070",21160,24979
"G1901090","1910","Iowa","190","Kossuth","1090","Kossuth","31","1090",21971,22720
"G1901110","1910","Iowa","190","Lee","1110","Lee","31","1110",36702,39719
"G1901130","1910","Iowa","190","Linn","1130","Linn","31","1130",60720,55392
"G1901150","1910","Iowa","190","Louisa","1150","Louisa","31","1150",12855,13516
"G1901170","1910","Iowa","190","Lucas","1170","Lucas","31","1170",13462,16126
"G1901190","1910","Iowa","190","Lyon","1190","Lyon","31","1190",14624,13165
"G1901210","1910","Iowa","190","Madison","1210","Madison","31","1210",15621,17710
"G1901230","1910","Iowa","190","Mahaska","1230","Mahaska","31","1230",29860,34273
"G1901250","1910","Iowa","190","Marion","1250","Marion","31","1250",22995,24159
"G1901270","1910","Iowa","190","Marshall","1270","Marshall","31","1270",30279,29991
"G1901290","1910","Iowa","190","Mills","1290","Mills","31","1290",15811,16764
"G1901310","1910","Iowa","190","Mitchell","1310","Mitchell","31","1310",13435,14916
"G1901330","1910","Iowa","190","Monona","1330","Monona","31","1330",16633,17980
"G1901350","1910","Iowa","190","Monroe","1350","Monroe","31","1350",25429,17985
"G1901370","1910","Iowa","190","Montgomery","1370","Montgomery","31","1370",16604,17803
"G1901390","1910","Iowa","190","Muscatine","1390","Muscatine","31","1390",29505,28242
"G1901410","1910","Iowa","190","O Brien","1410","O Brien","31","1410",17262,16985
"G1901430","1910","Iowa","190","Osceola","1430","Osceola","31","1430",8956,8725
"G1901450","1910","Iowa","190","Page","1450","Page","31","1450",24002,24187
"G1901470","1910","Iowa","190","Palo Alto","1470","Palo Alto","31","1470",13845,14354
"G1901490","1910","Iowa","190","Plymouth","1490","Plymouth","31","1490",23129,22209
"G1901510","1910","Iowa","190","Pocahontas","1510","Pocahontas","31","1510",14808,15339
"G1901530","1910","Iowa","190","Polk","1530","Polk","31","1530",110438,82624
"G1901550","1910","Iowa","190","Pottawattamie","1550","Pottawattamie","31","1550",55832,54336
"G1901570","1910","Iowa","190","Poweshiek","1570","Poweshiek","31","1570",19589,19414
"G1901590","1910","Iowa","190","Ringgold","1590","Ringgold","31","1590",12904,15325
"G1901610","1910","Iowa","190","Sac","1610","Sac","31","1610",16555,17639
"G1901630","1910","Iowa","190","Scott","1630","Scott","31","1630",60000,51558
"G1901650","1910","Iowa","190","Shelby","1650","Shelby","31","1650",16552,17932
"G1901670","1910","Iowa","190","Sioux","1670","Sioux","31","1670",25248,23337
"G1901690","1910","Iowa","190","Story","1690","Story","31","1690",24083,23159
"G1901710","1910","Iowa","190","Tama","1710","Tama","31","1710",22156,24585
"G1901730","1910","Iowa","190","Taylor","1730","Taylor","31","1730",16312,18784
"G1901750","1910","Iowa","190","Union","1750","Union","31","1750",16616,19928
"G1901770","1910","Iowa","190","Van Buren","1770","Van Buren","31","1770",15020,17354
"G1901790","1910","Iowa","190","Wapello","1790","Wapello","31","1790",37743,35426
"G1901810","1910","Iowa","190","Warren","1810","Warren","31","1810",18194,20376
"G1901830","1910","Iowa","190","Washington","1830","Washington","31","1830",19925,20718
"G1901850","1910","Iowa","190","Wayne","1850","Wayne","31","1850",16184,17491
"G1901870","1910","Iowa","190","Webster","1870","Webster","31","1870",34629,31757
"G1901890","1910","Iowa","190","Winnebago","1890","Winnebago","31","1890",11914,12725
"G1901910","1910","Iowa","190","Winneshiek","1910","Winneshiek","31","1910",21729,23731
"G1901930","1910","Iowa","190","Woodbury","1930","Woodbury","31","1930",67616,54610
"G1901950","1910","Iowa","190","Worth","1950","Worth","31","1950",9950,10887
"G1901970","1910","Iowa","190","Wright","1970","Wright","31","1970",17951,18227
"G2000010","1910","Kansas","200","Allen","0010","Allen","32","10",27640,19507
"G2000030","1910","Kansas","200","Anderson","0030","Anderson","32","30",13829,13938
"G2000050","1910","Kansas","200","Atchison","0050","Atchison","32","50",28107,28606
"G2000070","1910","Kansas","200","Barber","0070","Barber","32","70",9916,6594
"G2000090","1910","Kansas","200","Barton","0090","Barton","32","90",17876,13784
"G2000110","1910","Kansas","200","Bourbon","0110","Bourbon","32","110",24007,24712
"G2000130","1910","Kansas","200","Brown","0130","Brown","32","130",21314,22369
"G2000150","1910","Kansas","200","Butler","0150","Butler","32","150",23059,23363
"G2000170","1910","Kansas","200","Chase","0170","Chase","32","170",7527,8246
"G2000190","1910","Kansas","200","Chautauqua","0190","Chautauqua","32","190",11429,11804
"G2000210","1910","Kansas","200","Cherokee","0210","Cherokee","32","210",38162,42694
"G2000230","1910","Kansas","200","Cheyenne","0230","Cheyenne","32","230",4248,2640
"G2000250","1910","Kansas","200","Clark","0250","Clark","32","250",4093,1701
"G2000270","1910","Kansas","200","Clay","0270","Clay","32","270",15251,15833
"G2000290","1910","Kansas","200","Cloud","0290","Cloud","32","290",18388,18071
"G2000310","1910","Kansas","200","Coffey","0310","Coffey","32","310",15205,16643
"G2000330","1910","Kansas","200","Comanche","0330","Comanche","32","330",3281,1619
"G2000350","1910","Kansas","200","Cowley","0350","Cowley","32","350",31790,30156
"G2000370","1910","Kansas","200","Crawford","0370","Crawford","32","370",51178,38809
"G2000390","1910","Kansas","200","Decatur","0390","Decatur","32","390",8976,9234
"G2000410","1910","Kansas","200","Dickinson","0410","Dickinson","32","410",24361,21816
"G2000430","1910","Kansas","200","Doniphan","0430","Doniphan","32","430",14422,15079
"G2000450","1910","Kansas","200","Douglas","0450","Douglas","32","450",24724,25096
"G2000470","1910","Kansas","200","Edwards","0470","Edwards","32","470",7033,3682
"G2000490","1910","Kansas","200","Elk","0490","Elk","32","490",10128,11443
"G2000510","1910","Kansas","200","Ellis","0510","Ellis","32","510",12170,8626
"G2000530","1910","Kansas","200","Ellsworth","0530","Ellsworth","32","530",10444,9626
"G2000550","1910","Kansas","200","Finney","0550","Finney","32","550",6908,3469
"G2000570","1910","Kansas","200","Ford","0570","Ford","32","570",11393,5497
"G2000590","1910","Kansas","200","Franklin","0590","Franklin","32","590",20884,21354
"G2000610","1910","Kansas","200","Geary","0610","Geary","32","610",12681,10744
"G2000630","1910","Kansas","200","Gove","0630","Gove","32","630",6044,2441
"G2000650","1910","Kansas","200","Graham","0650","Graham","32","650",8700,5173
"G2000670","1910","Kansas","200","Grant","0670","Grant","32","670",1087,422
"G2000690","1910","Kansas","200","Gray","0690","Gray","32","690",3121,1264
"G2000710","1910","Kansas","200","Greeley","0710","Greeley","32","710",1335,493
"G2000730","1910","Kansas","200","Greenwood","0730","Greenwood","32","730",16060,16196
"G2000750","1910","Kansas","200","Hamilton","0750","Hamilton","32","750",3360,1426
"G2000770","1910","Kansas","200","Harper","0770","Harper","32","770",14748,10310
"G2000790","1910","Kansas","200","Harvey","0790","Harvey","32","790",19200,17591
"G2000810","1910","Kansas","200","Haskell","0810","Haskell","32","810",993,457
"G2000830","1910","Kansas","200","Hodgeman","0830","Hodgeman","32","830",2930,2032
"G2000850","1910","Kansas","200","Jackson","0850","Jackson","32","850",16861,17117
"G2000870","1910","Kansas","200","Jefferson","0870","Jefferson","32","870",15826,17533
"G2000890","1910","Kansas","200","Jewell","0890","Jewell","32","890",18148,19420
"G2000910","1910","Kansas","200","Johnson","0910","Johnson","32","910",18288,18104
"G2000930","1910","Kansas","200","Kearny","0930","Kearny","32","930",3206,1107
"G2000950","1910","Kansas","200","Kingman","0950","Kingman","32","950",13386,10663
"G2000970","1910","Kansas","200","Kiowa","0970","Kiowa","32","970",6174,2365
"G2000990","1910","Kansas","200","Labette","0990","Labette","32","990",31423,27387
"G2001010","1910","Kansas","200","Lane","1010","Lane","32","1010",2603,1563
"G2001030","1910","Kansas","200","Leavenworth","1030","Leavenworth","32","1030",41207,40940
"G2001050","1910","Kansas","200","Lincoln","1050","Lincoln","32","1050",10142,9886
"G2001070","1910","Kansas","200","Linn","1070","Linn","32","1070",14735,16689
"G2001090","1910","Kansas","200","Logan","1090","Logan","32","1090",4240,1962
"G2001110","1910","Kansas","200","Lyon","1110","Lyon","32","1110",24927,25074
"G2001130","1910","Kansas","200","McPherson","1130","Mcpherson","32","1130",21521,21421
"G2001150","1910","Kansas","200","Marion","1150","Marion","32","1150",22415,20676
"G2001170","1910","Kansas","200","Marshall","1170","Marshall","32","1170",23880,24355
"G2001190","1910","Kansas","200","Meade","1190","Meade","32","1190",5055,1581
"G2001210","1910","Kansas","200","Miami","1210","Miami","32","1210",20030,21641
"G2001230","1910","Kansas","200","Mitchell","1230","Mitchell","32","1230",14089,14647
"G2001250","1910","Kansas","200","Montgomery","1250","Montgomery","32","1250",49474,29039
"G2001270","1910","Kansas","200","Morris","1270","Morris","32","1270",12397,11967
"G2001290","1910","Kansas","200","Morton","1290","Morton","32","1290",1333,304
"G2001310","1910","Kansas","200","Nemaha","1310","Nemaha","32","1310",19072,20376
"G2001330","1910","Kansas","200","Neosho","1330","Neosho","32","1330",23754,19254
"G2001350","1910","Kansas","200","Ness","1350","Ness","32","1350",5883,4535
"G2001370","1910","Kansas","200","Norton","1370","Norton","32","1370",11614,11325
"G2001390","1910","Kansas","200","Osage","1390","Osage","32","1390",19905,23659
"G2001410","1910","Kansas","200","Osborne","1410","Osborne","32","1410",12827,11844
"G2001430","1910","Kansas","200","Ottawa","1430","Ottawa","32","1430",11811,11182
"G2001450","1910","Kansas","200","Pawnee","1450","Pawnee","32","1450",8859,5084
"G2001470","1910","Kansas","200","Phillips","1470","Phillips","32","1470",14150,14442
"G2001490","1910","Kansas","200","Pottawatomie","1490","Pottawatomie","32","1490",17522,18470
"G2001510","1910","Kansas","200","Pratt","1510","Pratt","32","1510",11156,7085
"G2001530","1910","Kansas","200","Rawlins","1530","Rawlins","32","1530",6380,5241
"G2001550","1910","Kansas","200","Reno","1550","Reno","32","1550",37853,29027
"G2001570","1910","Kansas","200","Republic","1570","Republic","32","1570",17447,18248
"G2001590","1910","Kansas","200","Rice","1590","Rice","32","1590",15106,14745
"G2001610","1910","Kansas","200","Riley","1610","Riley","32","1610",15783,13828
"G2001630","1910","Kansas","200","Rooks","1630","Rooks","32","1630",11282,7960
"G2001650","1910","Kansas","200","Rush","1650","Rush","32","1650",7826,6134
"G2001670","1910","Kansas","200","Russell","1670","Russell","32","1670",10800,8489
"G2001690","1910","Kansas","200","Saline","1690","Saline","32","1690",20338,17076
"G2001710","1910","Kansas","200","Scott","1710","Scott","32","1710",3047,1098
"G2001730","1910","Kansas","200","Sedgwick","1730","Sedgwick","32","1730",73095,44037
"G2001750","1910","Kansas","200","Seward","1750","Seward","32","1750",4091,822
"G2001770","1910","Kansas","200","Shawnee","1770","Shawnee","32","1770",61874,53727
"G2001790","1910","Kansas","200","Sheridan","1790","Sheridan","32","1790",5651,3819
"G2001810","1910","Kansas","200","Sherman","1810","Sherman","32","1810",4549,3341
"G2001830","1910","Kansas","200","Smith","1830","Smith","32","1830",15365,16384
"G2001850","1910","Kansas","200","Stafford","1850","Stafford","32","1850",12510,9829
"G2001870","1910","Kansas","200","Stanton","1870","Stanton","32","1870",1034,327
"G2001890","1910","Kansas","200","Stevens","1890","Stevens","32","1890",2453,620
"G2001910","1910","Kansas","200","Sumner","1910","Sumner","32","1910",30654,25631
"G2001930","1910","Kansas","200","Thomas","1930","Thomas","32","1930",5455,4112
"G2001950","1910","Kansas","200","Trego","1950","Trego","32","1950",5398,2722
"G2001970","1910","Kansas","200","Wabaunsee","1970","Wabaunsee","32","1970",12721,12813
"G2001990","1910","Kansas","200","Wallace","1990","Wallace","32","1990",2759,1178
"G2002010","1910","Kansas","200","Washington","2010","Washington","32","2010",20229,21963
"G2002030","1910","Kansas","200","Wichita","2030","Wichita","32","2030",2006,1197
"G2002050","1910","Kansas","200","Wilson","2050","Wilson","32","2050",19810,15621
"G2002070","1910","Kansas","200","Woodson","2070","Woodson","32","2070",9450,10022
"G2002090","1910","Kansas","200","Wyandotte","2090","Wyandotte","32","2090",100068,73227
"G2100010","1910","Kentucky","210","Adair","0010","Adair","51","10",16503,14888
"G2100030","1910","Kentucky","210","Allen","0030","Allen","51","30",14882,14657
"G2100050","1910","Kentucky","210","Anderson","0050","Anderson","51","50",10146,10051
"G2100070","1910","Kentucky","210","Ballard","0070","Ballard","51","70",12690,10761
"G2100090","1910","Kentucky","210","Barren","0090","Barren","51","90",25293,23197
"G2100110","1910","Kentucky","210","Bath","0110","Bath","51","110",13988,14734
"G2100130","1910","Kentucky","210","Bell","0130","Bell","51","130",28447,15701
"G2100150","1910","Kentucky","210","Boone","0150","Boone","51","150",9420,11170
"G2100170","1910","Kentucky","210","Bourbon","0170","Bourbon","51","170",17462,18069
"G2100190","1910","Kentucky","210","Boyd","0190","Boyd","51","190",23444,18834
"G2100210","1910","Kentucky","210","Boyle","0210","Boyle","51","210",14668,13817
"G2100230","1910","Kentucky","210","Bracken","0230","Bracken","51","230",10308,12137
"G2100250","1910","Kentucky","210","Breathitt","0250","Breathitt","51","250",17540,14322
"G2100270","1910","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",21034,20534
"G2100290","1910","Kentucky","210","Bullitt","0290","Bullitt","51","290",9487,9602
"G2100310","1910","Kentucky","210","Butler","0310","Butler","51","310",15805,15896
"G2100330","1910","Kentucky","210","Caldwell","0330","Caldwell","51","330",14063,14510
