GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B5O001
"G0201605","1960","Alaska","020","Kuskokwim - Elec District 17","1605","Kuskokwim - Elec District 17","81","3330",2301
"G0201645","1960","Alaska","020","Lynn Canal-Icy Straits - Elec District 06","1645","Lynn Canal-Icy Straits - Elec District 06","81","3110",2945
"G0201805","1960","Alaska","020","Nome - Elec District 23","1805","Nome - Elec District 23","81","3450",6091
"G0201905","1960","Alaska","020","Palmer-Wasilla-Talkeetna - Elec District 09","1905","Palmer-Wasilla-Talkeetna - Elec District 09","81","3170",5188
"G0202005","1960","Alaska","020","Prince Of Wales - Elec District 01","2005","Prince Of Wales - Elec District 01","81","3010",1772
"G0202015","1960","Alaska","020","Seward - Elec District 11","2015","Seward - Elec District 11","81","3210",2956
"G0202205","1960","Alaska","020","Sitka - Elec District 04","2205","Sitka - Elec District 04","81","3070",6690
"G0202505","1960","Alaska","020","Upper Yukon - Elec District 20","2505","Upper Yukon - Elec District 20","81","3390",1619
"G0202605","1960","Alaska","020","Valdez-Chitina-Whittier - Elec District 08","2605","Valdez-Chitina-Whittier - Elec District 08","81","3150",2844
"G0202705","1960","Alaska","020","Wade Hapton - Elec District 24","2705","Wade Hapton - Elec District 24","81","3470",3128
"G0202805","1960","Alaska","020","Wrangell-Petersburg - Elec District 03","2805","Wrangell-Petersburg - Elec District 03","81","3050",4181
"G0202905","1960","Alaska","020","Yukon-Koyukuk - Elec District 18","2905","Yukon-Koyukuk - Elec District 18","81","3350",4097
"G0400010","1960","Arizona","040","Apache","0010","Apache","61","10",30438
"G0400030","1960","Arizona","040","Cochise","0030","Cochise","61","30",55039
"G0400050","1960","Arizona","040","Coconino","0050","Coconino","61","50",41857
"G0400070","1960","Arizona","040","Gila","0070","Gila","61","70",25745
"G0400090","1960","Arizona","040","Graham","0090","Graham","61","90",14045
"G0400110","1960","Arizona","040","Greenlee","0110","Greenlee","61","110",11509
"G0400130","1960","Arizona","040","Maricopa","0130","Maricopa","61","130",663510
"G0400150","1960","Arizona","040","Mohave","0150","Mohave","61","150",7736
"G0400170","1960","Arizona","040","Navajo","0170","Navajo","61","170",37994
"G0400190","1960","Arizona","040","Pima","0190","Pima","61","190",265660
"G0400210","1960","Arizona","040","Pinal","0210","Pinal","61","210",62673
"G0400230","1960","Arizona","040","Santa Cruz","0230","Santa Cruz","61","230",10808
"G0400250","1960","Arizona","040","Yavapai","0250","Yavapai","61","250",28912
"G0400270","1960","Arizona","040","Yuma","0270","Yuma","61","270",46235
"G0500010","1960","Arkansas","050","Arkansas","0010","Arkansas","42","10",23355
"G0500030","1960","Arkansas","050","Ashley","0030","Ashley","42","30",24220
"G0500050","1960","Arkansas","050","Baxter","0050","Baxter","42","50",9943
"G0500070","1960","Arkansas","050","Benton","0070","Benton","42","70",36272
"G0500090","1960","Arkansas","050","Boone","0090","Boone","42","90",16116
"G0500110","1960","Arkansas","050","Bradley","0110","Bradley","42","110",14029
"G0500130","1960","Arkansas","050","Calhoun","0130","Calhoun","42","130",5991
"G0500150","1960","Arkansas","050","Carroll","0150","Carroll","42","150",11284
"G0500170","1960","Arkansas","050","Chicot","0170","Chicot","42","170",18990
"G0500190","1960","Arkansas","050","Clark","0190","Clark","42","190",20950
"G0500210","1960","Arkansas","050","Clay","0210","Clay","42","210",21258
"G0500230","1960","Arkansas","050","Cleburne","0230","Cleburne","42","230",9059
"G0500250","1960","Arkansas","050","Cleveland","0250","Cleveland","42","250",6944
"G0500270","1960","Arkansas","050","Columbia","0270","Columbia","42","270",26400
"G0500290","1960","Arkansas","050","Conway","0290","Conway","42","290",15430
"G0500310","1960","Arkansas","050","Craighead","0310","Craighead","42","310",47303
"G0500330","1960","Arkansas","050","Crawford","0330","Crawford","42","330",21318
"G0500350","1960","Arkansas","050","Crittenden","0350","Crittenden","42","350",47564
"G0500370","1960","Arkansas","050","Cross","0370","Cross","42","370",19551
"G0500390","1960","Arkansas","050","Dallas","0390","Dallas","42","390",10522
"G0500410","1960","Arkansas","050","Desha","0410","Desha","42","410",20770
"G0500430","1960","Arkansas","050","Drew","0430","Drew","42","430",15213
"G0500450","1960","Arkansas","050","Faulkner","0450","Faulkner","42","450",24303
"G0500470","1960","Arkansas","050","Franklin","0470","Franklin","42","470",10213
"G0500490","1960","Arkansas","050","Fulton","0490","Fulton","42","490",6657
"G0500510","1960","Arkansas","050","Garland","0510","Garland","42","510",46697
"G0500530","1960","Arkansas","050","Grant","0530","Grant","42","530",8294
"G0500550","1960","Arkansas","050","Greene","0550","Greene","42","550",25198
"G0500570","1960","Arkansas","050","Hempstead","0570","Hempstead","42","570",19661
"G0500590","1960","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",21893
"G0500610","1960","Arkansas","050","Howard","0610","Howard","42","610",10878
"G0500630","1960","Arkansas","050","Independence","0630","Independence","42","630",20048
"G0500650","1960","Arkansas","050","Izard","0650","Izard","42","650",6766
"G0500670","1960","Arkansas","050","Jackson","0670","Jackson","42","670",22843
"G0500690","1960","Arkansas","050","Jefferson","0690","Jefferson","42","690",81373
"G0500710","1960","Arkansas","050","Johnson","0710","Johnson","42","710",12421
"G0500730","1960","Arkansas","050","Lafayette","0730","Lafayette","42","730",11030
"G0500750","1960","Arkansas","050","Lawrence","0750","Lawrence","42","750",17267
"G0500770","1960","Arkansas","050","Lee","0770","Lee","42","770",21001
"G0500790","1960","Arkansas","050","Lincoln","0790","Lincoln","42","790",14447
"G0500810","1960","Arkansas","050","Little River","0810","Little River","42","810",9211
"G0500830","1960","Arkansas","050","Logan","0830","Logan","42","830",15957
"G0500850","1960","Arkansas","050","Lonoke","0850","Lonoke","42","850",24551
"G0500870","1960","Arkansas","050","Madison","0870","Madison","42","870",9068
"G0500890","1960","Arkansas","050","Marion","0890","Marion","42","890",6041
"G0500910","1960","Arkansas","050","Miller","0910","Miller","42","910",31686
"G0500930","1960","Arkansas","050","Mississippi","0930","Mississippi","42","930",70174
"G0500950","1960","Arkansas","050","Monroe","0950","Monroe","42","950",17327
"G0500970","1960","Arkansas","050","Montgomery","0970","Montgomery","42","970",5370
"G0500990","1960","Arkansas","050","Nevada","0990","Nevada","42","990",10700
"G0501010","1960","Arkansas","050","Newton","1010","Newton","42","1010",5963
"G0501030","1960","Arkansas","050","Ouachita","1030","Ouachita","42","1030",31641
